"Department Code","Department Name"
"7910 ","Administrative Law, Office of "
"4170 ","Aging, California Department of "
"7300 ","Agricultural Labor Relations Board "
"3900 ","Air Resources Board, State "
"2120 ","Alcoholic Beverage Control Appeals Board "
"2100 ","Alcoholic Beverage Control, Department of "
"0971 ","Alternative Energy and Advanced Transportation Financing Authority, California "
"8260 ","Arts Council, California "
"8825 ","Asian and Pacific Islander American Affairs, Commission on "
"0120 ","Assembly "
"9840 ","Augmentation for Contingencies or Emergencies "
"9800 ","Augmentation for Employee Compensation "
"3835 ","Baldwin Hills Conservancy "
"0860 ","Board of Equalization, State "
"9658 ","Budget Stabilization Account "
"0515 ","Business, Consumer Services, and Housing Agency, Secretary for "
"0981 ","California ABLE Act Board "
"7600 ","California Department of Tax and Fee Administration "
"0530 ","California Health and Human Services Agency, Secretary for "
"2720 ","California Highway Patrol, Department of the "
"1750 ","California Horse Racing Board "
"2245 ","California Housing Finance Agency "
"6445 ","California Institute for Regenerative Medicine "
"8830 ","California Law Revision Commission "
"8855 ","California State Auditor's Office "
"6610 ","California State University "
"7120 ","California Workforce Development Board "
"0984 ","CalSavers Retirement Savings Board "
"1045 ","Cannabis Control Appeals Panel "
"1115 ","Cannabis Control, Department of "
"9860 ","Capital Outlay Planning and Studies Funding "
"9620 ","Cash Management and Budgetary Loans "
"5175 ","Child Support Services, Department of "
"4250 ","Children and Families Commission, California "
"8385 ","Citizens Compensation Commission, California "
"0911 ","Citizens Redistricting Commission "
"1700 ","Civil Rights Department "
"3850 ","Coachella Valley Mountains Conservancy "
"3720 ","Coastal Commission, California "
"6600 ","College of the Law, San Francisco "
"3460 ","Colorado River Board of California "
"4180 ","Commission on Aging "
"0280 ","Commission on Judicial Performance "
"6360 ","Commission on Teacher Credentialing "
"4700 ","Community Services and Development, Department of "
"3340 ","Conservation Corps, California "
"3480 ","Conservation, Department of "
"1111 ","Consumer Affairs, Department of "
"5225 ","Corrections and Rehabilitation, Department of "
"6645 ","CSU Health Benefits for Retired Annuitants "
"7504 ","Data and Innovation, Office of "
"0956 ","Debt and Investment Advisory Commission, California "
"0959 ","Debt Limit Allocation Committee, California "
"9600 ","Debt Service General Obligation Bonds and Commercial Paper "
"3840 ","Delta Protection Commission "
"3885 ","Delta Stewardship Council "
"4300 ","Developmental Services, Department of "
"6125 ","Education Audit Appeals Panel "
"6100 ","Education, Department of "
"0989 ","Educational Facilities Authority, California "
"4120 ","Emergency Medical Services Authority "
"0690 ","Emergency Services, Office of "
"7100 ","Employment Development Department "
"3355 ","Energy Infrastructure Safety, Office of "
"3360 ","Energy Resources Conservation and Development Commission "
"9612 ","Enhanced Tobacco Settlement Asset-Backed Bonds "
"3980 ","Environmental Health Hazard Assessment, Office of "
"3210 ","Environmental Protection Program "
"0555 ","Environmental Protection, Secretary for "
"9670 ","Equity Claims and Settlements and Judgments "
"3100 ","Exposition Park "
"8620 ","Fair Political Practices Commission "
"8860 ","Finance, Department of "
"8880 ","Financial Information System for California "
"1701 ","Financial Protection and Innovation, Department of "
"3600 ","Fish and Wildlife, Department of "
"8570 ","Food and Agriculture, Department of "
"3540 ","Forestry and Fire Protection, Department of "
"7730 ","Franchise Tax Board "
"0855 ","Gambling Control Commission, California "
"7760 ","General Services, Department of "
"0511 ","Government Operations Agency, Secretary for "
"0500 ","Governor's Office "
"0509 ","Governor's Office of Business and Economic Development (GO-Biz) "
"6870 ","Governors of the California Community Colleges, Board of "
"9650 ","Health and Dental Benefits for Annuitants "
"4800 ","Health Benefit Exchange, California "
"4140 ","Health Care Access and Information, Department of "
"4260 ","Health Care Services, State Department of "
"0977 ","Health Facilities Financing Authority, California "
"2665 ","High-Speed Rail Authority "
