Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,California State University,"State University, Monterey Bay",,"President, Range 0",False,False,,291324,500232,,312499,0,0,16944,329443,92365,0,0,19351,111716,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Administrator IV, Range 1",False,False,,110004,330000,,273121,0,0,396,273517,81338,0,0,10211,91549,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Administrator IV, Range 1",False,False,,110004,330000,,232967,0,0,762,233729,68997,0,0,19351,88348,2.00% @ 60,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Administrator IV, Range 1",False,False,,110004,330000,,152386,0,70429,508,223323,45490,0,0,12901,58391,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Administrator IV, Range 1",False,False,,110004,330000,,222817,0,0,396,223213,42761,0,0,25358,68119,2.00% @ 62,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Administrator IV, Range 1",False,False,,110004,330000,,84071,0,67038,71754,222863,24752,0,0,3404,28156,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Instructional Faculty - Academic Year, Range 4",False,False,"Instructional Faculty, Special Programs -For Credit, Range 4|Ft Faculty Unit - Additional Employment, Range 0",72120,153456,,146305,0,0,54495,200800,41135,0,0,9775,50910,2.00% @ 62,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Department Chair - Academic Year, Range 5",False,False,"Special Consultant, Range 0|Instructional Faculty - Academic Year, Range 5|Instructional Faculty, Special Programs -For Credit, Range 5|Ft Faculty Unit - Additional Employment, Range 0|Ft Faculty Unit - Additional Employment, Range 0",90804,173508,,135516,0,0,63767,199283,35155,0,0,25358,60512,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Administrator IV, Range 1",False,False,,110004,330000,,193962,0,0,258,194220,56871,0,0,18568,75439,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
2021,California State University,"State University, Monterey Bay",,"Instructional Faculty - Academic Year, Range 5",False,False,"Ft Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -For Credit, Range 5",90804,160740,,145765,0,0,45335,191100,43111,0,0,10211,53323,2.00% @ 55,https://csumb.edu/hr,,07/26/2022,Monterey ,,True,
