Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,California State University,"State Polytech University, Pomona",,"President, Range 0",,,,223584,350004,,286149,0,0,13584,299733,52551,0,0,13552,66103,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,216571,0,0,396,216967,39057,0,0,13552,52609,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,216533,0,0,396,216929,39055,0,0,10253,49308,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,210030,0,0,60,210090,38515,0,0,18136,56651,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,203830,0,0,138,203968,36895,0,0,18136,55032,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,"Administrator III, Range 1|Instructional Faculty - Academic Year, Range 5",89844,258168,,153683,0,25550,5290,184523,28847,0,0,18136,46983,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,182002,0,0,138,182140,32967,0,0,18136,51103,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,180389,0,0,-294,180095,32665,0,0,7668,40333,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,173168,0,0,396,173564,31749,0,0,18136,49885,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,"Instructional Faculty, Extension Non-Credit, Range 2",89844,258168,,132221,0,0,37658,169879,29202,0,0,7955,37158,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,,59376,188376,,164843,0,0,138,164981,29779,0,0,18136,47916,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,164125,0,0,762,164887,29695,0,0,13552,43247,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,164125,0,0,396,164521,29695,0,0,13552,43247,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Instructional Faculty - 12 Month, Range 5",,,,83088,147792,,163822,0,0,151,163972,29695,0,0,18136,47831,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Instructional Faculty - Academic Year, Range 5",,,,72132,128400,,115475,0,47018,508,163002,18417,0,0,9254,27671,,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Instructional Faculty - Academic Year, Range 5",,,,72132,128400,,161533,0,1060,172,162765,29219,0,0,18136,47355,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,161485,0,0,396,161881,29160,0,0,13453,42613,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,159624,0,0,396,160020,28797,0,0,7109,35905,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Department Chair - Academic Year, Range 5",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty, Summer Session - Extension, Range 2",72132,138684,,128694,0,0,30372,159066,21763,0,0,18136,39899,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,"Special Consultant, Range 0|Administrator III, Range 1",59376,188376,,133904,0,18529,5553,157986,24220,0,0,7696,31916,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Physician, Range 1",,,,125724,207300,,149960,0,0,7972,157931,29373,0,0,18136,47509,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Department Chair - Academic Year, Range 5",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty, Summer Session - Extension, Range 2",72132,138684,,121544,0,0,33417,154962,20180,0,0,18136,38316,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Physician, Range 6",,,"Physician, Range 1",115248,190020,,154857,0,0,0,154857,25916,0,0,13552,39468,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,,59376,188376,,153192,0,0,258,153450,27639,0,0,7109,34748,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,153085,0,0,237,153322,28075,0,0,13543,41618,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,152696,0,0,138,152834,27924,0,0,13552,41476,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Department Chair - Academic Year, Range 5",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Special Consultant, Range 0",72132,138684,,127213,0,0,24185,151398,19299,0,0,6614,25912,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,,59376,188376,,149616,0,0,200,149816,26996,0,0,6302,33298,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Department Chair - Academic Year, Range 5",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Special Consultant, Range 0",72132,138684,,119712,0,0,30092,149804,20314,0,0,18136,38451,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Physician, Range 1",,,,125724,207300,,149602,0,0,0,149602,27242,0,0,13552,40794,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Instructional Faculty - 12 Month, Range 5",,,,83088,147792,,146756,0,0,0,146756,26996,0,0,18136,45132,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator IV, Range 1",,,,89844,258168,,143371,0,0,762,144133,25991,0,0,13552,39543,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty, Summer Session - Extension, Range 2",59376,188376,,119076,0,0,24050,143126,18750,0,0,12666,31416,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,,59376,188376,,140819,0,0,90,140909,25456,0,0,16789,42245,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
2011,California State University,"State Polytech University, Pomona",,"Administrator III, Range 1",,,,59376,188376,,140280,0,0,229,140509,25315,0,0,16833,42149,2.00% @ 55,https://www.cpp.edu/hrscsc/index.shtml,,07/21/2016,Los Angeles,,,
