Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,California State University,"State University, Dominguez Hills",,"President, Range 0",False,False,,223584,378648,,309388,0,0,15048,324436,80675,0,0,17266,97941,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,"President, Range 0",89844,276648,,255421,0,0,31153,286574,66438,0,0,12497,78936,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,229396,0,0,138,229534,59374,0,0,8595,67969,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,211241,0,0,90,211331,55315,0,0,17032,72347,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,196676,0,0,138,196814,51497,0,0,22880,74377,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Instructional Faculty - Academic Year, Range 5",False,False,,79524,140760,,148161,0,43529,45,191735,38810,0,0,9114,47923,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,191105,0,0,396,191501,49570,0,0,8595,58165,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,151176,0,39161,824,191161,38781,0,0,159,38940,2.00% @ 62,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,187023,0,0,213,187236,48651,0,0,19808,68460,2.00% @ 60,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,184319,0,0,138,184457,48137,0,0,22803,70940,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Department Chair - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - Extension, Range 1|Instructional Faculty - Academic Year, Range 5|Ft Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -For Credit, Range 5|Instructional Faculty, Special Programs -For Credit, Range 5",79524,151944,,132152,0,0,49275,181427,31359,0,0,22803,54162,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,177544,0,0,258,177802,47001,0,0,22880,69882,2.00% @ 62,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator III, Range 1",False,False,,59376,201864,,174353,0,0,396,174749,45164,0,0,17032,62197,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,170625,0,0,127,170752,44125,0,0,9610,53735,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Instructional Faculty - Academic Year, Range 5",False,False,"Department Chair - Academic Year, Range 5|Instructional Faculty, Summer Session - Extension, Range 1",79524,140760,,139349,0,0,29655,169004,36045,0,0,22803,58849,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,168515,0,0,258,168773,44113,0,0,22880,66994,2.00% @ 62,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
2016,California State University,"State University, Dominguez Hills",,"Administrator IV, Range 1",False,False,,89844,276648,,163805,0,0,-204,163601,42185,0,0,3692,45878,2.00% @ 55,https://www.csudh.edu/hr/,,04/08/2022,Los Angeles,,,
