Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,California State University,"State University, Bakersfield",,"President, Range 0",False,False,,223584,360504,,284171,0,0,66944,351115,64082,0,0,15777,79859,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator IV, Range 1",False,False,,89844,265908,,199850,0,0,386,200236,45413,0,0,15777,61190,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator IV, Range 1",False,False,,89844,265908,,191200,0,0,258,191458,43518,0,0,20890,64408,2.00% @ 60,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator IV, Range 1",False,False,,89844,265908,,182915,0,0,773,183688,41448,0,0,15777,57225,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator IV, Range 1",False,False,,89844,265908,,177269,0,0,396,177665,40084,0,0,16203,56286,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator IV, Range 1",False,False,,89844,265908,,177324,0,0,128,177452,40084,0,0,15777,55860,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator III, Range 1",False,False,"Special Consultant, Range 0|Special Consultant, Range 0|Administrator IV, Range 1",59376,194028,,143772,0,7716,14113,165601,32666,0,0,14071,46737,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Instructional Faculty - Academic Year, Range 5",False,False,"Special Consultant, Range 0|Special Consultant, Range 0|Special Consultant, Range 0|Instructional Faculty, Summer Session - State Support, Range 2|Instructional Faculty, Special Programs -For Credit, Range 5|Instructional Faculty, Extension Non-Credit, Range 2",74256,131424,,98207,0,0,66746,164953,22301,0,0,15777,38077,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator III, Range 1",False,False,,59376,194028,,157068,0,0,1316,158383,35961,0,0,8865,44826,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
2014,California State University,"State University, Bakersfield",,"Administrator IV, Range 1",False,False,,89844,265908,,157237,0,0,396,157633,35494,0,0,8865,44359,2.00% @ 55,https://www.csub.edu/hr,,07/28/2015,Kern,,,
