Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,California State University,"State University, San Jose",,"President, Range 0",False,False,"President, Range 0",311712,586464,,381035,0,48742,26574,456352,105600,0,0,27544,133144,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"President, Range 0",False,False,,311712,586464,,415534,0,0,18671,434205,105600,0,0,9960,115560,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,305610,0,79303,98,385010,46733,0,0,25054,71787,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,361253,0,0,258,361511,101364,0,0,26015,127379,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,344247,0,0,138,344385,103576,0,0,27600,131176,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,343538,0,0,258,343796,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,282058,0,0,36842,318900,46733,0,0,2658,49391,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,293171,0,0,138,293309,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,286910,0,0,396,287306,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,281351,0,0,138,281489,46733,0,0,10866,57599,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,278763,0,0,396,279159,46733,0,0,11230,57963,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,274564,0,0,0,274564,89027,0,0,11146,100173,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,257987,0,0,258,258245,79438,0,0,21510,100948,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,222771,0,32836,499,256106,46733,0,0,27537,74271,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Sergeant, Range 0",False,False,,88716,130848,,120877,93148,0,37902,251927,70576,0,0,10866,81442,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,250074,0,0,396,250470,80467,0,0,21344,101812,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,249507,0,0,138,249645,46733,0,0,12344,59077,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,248640,0,0,258,248898,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Sergeant, Range 0",False,False,,88716,130848,,114727,89828,0,40466,245021,74165,0,0,27600,101764,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Special Programs -For Credit, Range 5|Instructional Faculty - 12 Month, Range 5|Department Chair - 12 Month, Range 5",98208,173844,,159293,0,47952,32921,240165,52673,0,0,11230,63902,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Physician - Primary Care, Range 1",False,False,,160872,273216,,235808,0,0,0,235808,78200,0,0,27600,105800,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,233775,0,0,54,233829,46733,0,0,10866,57599,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",115500,370752,,233229,0,0,90,233319,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator III, Range 1",False,False,,78756,252792,,226035,0,0,138,226173,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,223630,0,1767,396,225793,46733,0,0,21510,68243,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,218119,0,7128,396,225643,71841,0,0,23411,95252,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator III, Range 1",False,False,"Casual Worker, Range 0",78756,252792,,223571,0,0,277,223848,46733,0,0,10866,57599,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,223164,0,0,258,223422,87625,0,0,84,87709,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,221380,0,0,54,221434,46733,0,0,1764,48497,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator III, Range 1",False,False,,78756,252792,,219909,0,0,396,220305,72125,0,0,20616,92740,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator III, Range 1",False,False,,78756,252792,,219183,0,0,90,219273,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,218256,0,0,138,218394,52067,0,0,3520,55587,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,217539,0,0,762,218301,70364,0,0,27600,97964,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Sergeant, Range 0",False,False,,88716,130848,,121329,51969,0,42993,216291,75597,0,0,10866,86463,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty, Special Programs -For Credit, Range 5|Instructional Faculty, Summer Session - Extension, Range 1|Instructional Faculty - 12 Month, Range 5",112944,215796,,185953,0,0,27639,213592,60277,0,0,12708,72984,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
2023,California State University,"State University, San Jose",,"Administrator IV, Range 1",False,False,,115500,370752,,213404,0,0,60,213464,46733,0,0,27600,74333,Public Employees Retirement System,https://www.sjsu.edu/up/,,08/06/2024,Santa Clara,,True,
