Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,California State University,"State University, San Bernardino",,"President, Range 0",False,False,,291324,500232,,363395,0,0,75048,438443,109618,0,0,17904,127522,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Administrator IV, Range 1",False,False,,110004,330000,,258927,0,0,2609,261537,78848,0,0,23574,102422,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1|Special Consultant, Range 0",110004,330000,,205921,0,2853,42316,251090,61729,0,0,15,61744,2.00% @ 62,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Administrator IV, Range 1",False,False,,110004,330000,,246060,0,0,138,246198,74690,0,0,17904,92593,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Administrator IV, Range 1",False,False,,110004,330000,,227335,0,0,138,227473,69050,0,0,23574,92624,2.00% @ 62,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty - Academic Year, Range 5|Instructional Faculty, Special Programs -For Credit, Range 5|Ft Faculty Unit - Additional Employment, Range 0|Ft Faculty Unit - Additional Employment, Range 0|Ft Faculty Unit - Additional Employment, Range 0",100416,191856,,210299,0,0,13129,223428,51092,0,0,17904,68996,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Administrator IV, Range 1",False,False,,110004,330000,,217574,0,0,762,218336,65468,0,0,17362,82830,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Instructional Faculty - Academic Year, Range 5",False,False,"Ft Faculty Unit - Additional Employment, Range 0|Ft Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -For Credit, Range 5|Instructional Faculty, Summer Session - Extension, Range 2",87312,154560,,151602,0,0,61642,213244,43052,0,0,2359,45411,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Instructional Faculty - Academic Year, Range 5",False,False,"Ft Faculty Unit - Additional Employment, Range 0",87312,154560,,148465,0,33025,24737,206227,41656,0,0,17826,59483,2.00% @ 55,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
2019,California State University,"State University, San Bernardino",,"Physician - Primary Care, Range 1",False,False,,150180,255060,,198512,0,0,0,198512,59676,0,0,23574,83250,2.00% @ 62,https://www.csusb.edu/human-resources,,04/08/2022,San Bernardino,,True,
