Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,California State University,"State University, Stanislaus",,"President, Range 0",,,,223584,350004,,253678,0,0,51584,305262,46373,0,0,12333,58707,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator IV, Range 1",,,,89844,258168,,191509,0,0,1902,193411,35211,0,0,16471,51682,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator IV, Range 1",,,,89844,258168,,158586,0,0,258,158844,29070,0,0,12333,41403,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Physician, Range 6",,,,115248,190020,,148032,0,0,3105,151138,27719,0,0,15259,42978,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator III, Range 1",,,,59376,188376,,146143,0,0,1180,147323,26451,0,0,2637,29089,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator III, Range 1",,,,59376,188376,,145098,0,1257,121,146476,25579,0,0,11305,36885,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator IV, Range 1",,,,89844,258168,,139249,0,0,2065,141314,25930,0,0,16471,42401,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator III, Range 1",,,,59376,188376,,139524,0,0,1666,141190,25763,0,0,12689,38452,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Department Chair - Academic Year, Range 5",,,"Special Consultant, Range 0|Special Consultant, Range 0",72132,138684,,88853,0,0,46006,134859,17445,0,0,16471,33915,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Instructional Faculty - Academic Year, Range 5",,,"Instructional Faculty, Summer Session - Extension, Range 1|Special Consultant, Range 0",72132,128400,,92259,0,0,42547,134806,16931,0,0,6551,23482,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Administrator III, Range 1",,,,59376,188376,,133230,0,0,738,133968,24561,0,0,16471,41032,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Department Chair - Academic Year, Range 5",,,"Administrator IV, Range 1",72132,138684,,116079,0,0,15536,131615,23964,0,0,6551,30515,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
2010,California State University,"State University, Stanislaus",,"Lecturer - Academic Year, Range 4",,,"Instructional Faculty, Special Programs -For Credit, Range 5|Special Consultant, Range 0",57084,122520,,76723,0,0,54415,131138,14154,0,0,16471,30625,2.00% @ 55,https://www.csustan.edu/hr,,07/01/2014,Stanislaus,,,
