Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,California State University,"State University, Sacramento",,"President, Range 0",False,False,,223584,471516,,325331,0,0,75048,400379,90558,0,0,17401,107959,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",92088,283560,,217914,0,60948,1204,280066,60337,0,0,8862,69199,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,180592,0,0,85589,266181,50375,0,0,23004,73379,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,230834,0,0,258,231092,63931,0,0,23004,86935,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,218015,0,0,1092,219107,60518,0,0,7640,68158,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,217757,0,0,258,218015,60069,0,0,8642,68712,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Physician, Range 1",False,False,,147240,231876,,196631,0,0,11100,207731,57178,0,0,9171,66349,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,199270,0,0,-36,199234,57142,0,0,23004,80146,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Physician, Range 1",False,False,,147240,231876,,195409,0,0,2970,198379,55434,0,0,23004,78438,2.00% @ 60,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,190975,0,0,5258,196233,56038,0,0,23004,79042,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,136451,0,58917,150,195517,37501,0,0,22963,60464,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,"Special Consultant, Range 0",60864,206916,,186529,0,0,6356,192884,52069,0,0,23004,75073,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,187095,0,0,90,187185,51919,0,0,23004,74923,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"FT Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -for Credit, Range 5",82308,145692,,137215,0,0,49578,186793,37797,0,0,22963,60760,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator II, Range 1",False,False,"Instructional Faculty, Extension Non-Credit, Range 2",44712,153204,,4602,0,0,180630,185232,1308,0,0,0,1308,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,,82308,145692,,148837,0,30538,215,179590,41616,0,0,23004,64620,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,"Instructional Faculty, Special Programs -for Credit, Range 5",60864,206916,,132053,0,0,46583,178636,38926,0,0,13590,52516,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Administrator III, Range 1",82308,145692,,170387,0,0,8020,178407,48975,0,0,16152,65126,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Grant-Related/Specially Funded Instructional Faculty - 12MO, Range 0",False,False,,57288,226152,,176864,0,0,0,176864,48597,0,0,17123,65721,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,176333,0,0,258,176591,48421,0,0,2223,50644,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,176385,0,0,90,176475,48817,0,0,9171,57988,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,175024,0,0,54,175078,48403,0,0,18190,66593,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,174342,0,0,396,174738,48039,0,0,17123,65162,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,174175,0,0,90,174265,48084,0,0,21550,69634,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Physician, Range 1",False,False,,147240,231876,,172790,0,0,0,172790,47431,0,0,238,47669,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,172627,0,0,-54,172573,48723,0,0,17401,66124,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,171843,0,0,150,171993,47490,0,0,22963,70454,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Extension Non-Credit, Range 2",82308,145692,,142630,0,0,29200,171830,39201,0,0,22963,62164,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,171657,0,0,138,171795,47534,0,0,23004,70538,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,167726,0,0,2631,170357,45821,0,0,3816,49637,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Extension Non-Credit, Range 2",82308,145692,,121243,0,0,46787,168030,34097,0,0,17401,51498,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 4",False,False,"Special Consultant, Range 0|FT Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -for Credit, Range 5",65364,139080,,130500,0,0,36476,166976,36149,0,0,22963,59113,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,166712,0,0,138,166850,46165,0,0,23004,69169,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,165943,0,0,258,166201,45691,0,0,17123,62814,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Extension Non-Credit, Range 2",82308,145692,,109153,0,0,55781,164933,30668,0,0,23004,53672,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,164307,0,0,138,164445,45259,0,0,8642,53902,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,162247,0,0,396,162643,44694,0,0,17123,61817,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"FT Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -for Credit, Range 5",82308,145692,,112863,0,0,49533,162396,27122,0,0,2749,29872,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,159839,0,0,138,159977,44221,0,0,23004,67225,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,155110,0,2604,1127,158841,42429,0,0,21050,63479,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,153398,0,0,5258,158656,43764,0,0,8642,52406,2.00% @ 60,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Special Programs -for Credit, Range 5",82308,145692,,123191,0,0,35259,158451,34448,0,0,23004,57452,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,158164,0,0,258,158422,43103,0,0,1774,44878,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,157893,0,0,258,158151,44042,0,0,9171,53213,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,139120,0,0,18223,157343,43482,0,0,23004,66486,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - Extension, Range 1",82308,145692,,92029,0,0,64960,156988,25974,0,0,23004,48978,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,156700,0,0,40,156740,43662,0,0,13403,57065,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 4",False,False,"Instructional Faculty, Extension Non-Credit, Range 2|FT Faculty Unit - Additional Employment, Range 0",65364,139080,,127628,0,0,28680,156308,29873,0,0,22963,52836,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,154570,0,0,942,155512,68348,0,0,23004,91352,2.50% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator IV, Range 1",False,False,,92088,283560,,153688,0,0,1465,155153,42692,0,0,13772,56464,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,"Administrator III, Range 1",60864,206916,,153470,0,0,90,153560,42291,0,0,21550,63840,2.00% @ 60,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,152671,0,0,90,152761,42078,0,0,22963,65041,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator II, Range 1",False,False,"Special Consultant, Range 0",44712,153204,,122635,0,0,30086,152721,33810,0,0,22963,56773,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 3",False,False,"FT Faculty Unit - Additional Employment, Range 0|Instructional Faculty, Special Programs -for Credit, Range 5",57084,126660,,131583,0,0,17976,149559,33545,0,0,21550,55095,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty - Academic Year *, Range 5",94656,180852,,117842,0,30749,0,148591,28040,0,0,6973,35013,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator III, Range 1",False,False,,60864,206916,,147800,0,0,396,148196,42117,0,0,23004,65121,2.00% @ 62,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - Extension, Range 1|FT Faculty Unit - Additional Employment, Range 0",82308,145692,,113862,0,0,34254,148116,30962,0,0,17123,48085,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Administrator II, Range 1",False,False,,44712,153204,,145788,0,0,90,145878,40168,0,0,8642,48810,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty - Academic Year, Range 5|Instructional Faculty, Special Programs -for Credit, Range 5",94656,180852,,108809,0,0,36649,145459,29999,0,0,21591,51589,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
2017,California State University,"State University, Sacramento",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty, Special Programs -for Credit, Range 5",94656,180852,,126315,0,0,18044,144360,36967,0,0,22963,59930,2.00% @ 55,https://www.csus.edu/administration-business-affairs/human-resources/,,04/08/2022,Sacramento,,True,
