Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,California State University,"State University, Long Beach",,"President, Range 0",False,False,,291324,500232,,363719,0,0,4778,368498,110075,0,0,10937,121012,2.00% @ 60,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,280830,0,0,9380,290210,85034,0,0,23574,108608,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,265887,0,0,396,266283,80171,0,0,17904,98075,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,"Physician - Specialty Services, Range 1",110004,330000,,235180,0,0,18582,253762,76663,0,0,23574,100237,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,246216,0,0,138,246354,75083,0,0,23574,98657,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator III, Range 1",False,False,"Lecturer - Academic Year, Range 5|Ft Faculty Unit - Additional Employment, Range 0|Administrator IV, Range 1",75000,225000,,208518,0,27618,1236,237372,60894,0,0,9448,70342,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,234806,0,0,426,235232,70865,0,0,17904,88769,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,228186,0,0,762,228948,69353,0,0,23574,92927,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,"Special Consultant, Range 0",110004,330000,,218034,0,0,9349,227383,65698,0,0,23574,89272,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,226441,0,0,396,226837,68041,0,0,8891,76932,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,223553,0,0,762,224315,67633,0,0,17904,85537,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
2019,California State University,"State University, Long Beach",,"Administrator IV, Range 1",False,False,,110004,330000,,221595,0,0,396,221991,66824,0,0,9448,76271,2.00% @ 55,https://www.csulb.edu/administration-finance/human-resources-management/staff-human-resources,,04/08/2022,Los Angeles,,True,
