Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,67040,0,58015,415032,540087,19238,0,0,7757,26995,2.00% @ 62,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"President, Range 0",False,False,,282828,485664,,354343,0,0,14048,368391,103365,0,0,17632,120996,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,286845,0,0,23539,310384,83875,0,0,17453,101328,2.00% @ 62,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,257816,0,0,138,257954,75154,0,0,23271,98425,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,243226,0,0,9138,252364,70718,0,0,23271,93989,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,219896,0,0,18217,238113,64084,0,0,6810,70894,2.00% @ 62,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,237103,0,0,762,237865,68724,0,0,17632,86356,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,231456,0,0,396,231852,67419,0,0,23271,90690,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Physician - Specialty Services, Range 1",False,False,,153828,299400,,230339,0,0,0,230339,66937,0,0,23271,90208,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator IV, Range 1",False,False,,92088,292068,,227132,0,0,396,227528,66669,0,0,17632,84300,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Administrator III, Range 1",False,False,,60864,213120,,146140,0,34537,40073,220749,42195,0,0,8468,50663,2.00% @ 62,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
2018,California State University,"State University, Northridge",,"Physician - Primary Care, Range 1",False,False,,147240,255060,,218892,0,0,0,218892,63660,0,0,23271,86930,2.00% @ 55,https://www.csun.edu/hr,,04/08/2022,Los Angeles,,True,
