Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,California State University,"State University, San Marcos",,"President, Range 0",,,,223584,350004,,267077,0,0,67849,334926,48694,0,0,13552,62246,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,199620,0,0,9138,208758,36250,0,0,6896,43146,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,202093,0,0,258,202351,36783,0,0,13552,50335,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,190135,0,0,90,190225,34554,0,0,13552,48106,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,184117,0,0,396,184513,34196,0,0,13442,47638,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,,72132,128400,,138998,0,31926,508,171432,22924,0,0,13602,36526,,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,165752,0,0,258,166010,30129,0,0,13552,43681,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,157464,0,0,54,157518,28620,0,0,7109,35728,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,156069,0,0,396,156465,28125,0,0,6954,35079,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,"Instructional Faculty, Summer Session - Extension, Range 1",59376,188376,,105643,0,0,45498,151141,21952,0,0,7109,29060,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,150636,0,0,308,150944,26996,0,0,3931,30926,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,148384,0,0,0,148384,26996,0,0,7187,34183,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,145759,0,0,258,146017,26406,0,0,13552,39958,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,123523,0,21162,0,144685,22829,0,0,14721,37550,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 4",,,"Department Chair - Academic Year, Range 5|Instructional Faculty, Summer Session - Extension, Range 1",57084,122520,,100377,0,0,43024,143401,18140,0,0,18136,36276,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 4",,,"Special Consultant, Range 0",57084,122520,,99042,0,0,40660,139702,17901,0,0,18136,36038,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,138784,0,0,258,139042,25037,0,0,13552,38589,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,136680,0,0,942,137622,37946,0,0,1790,39736,3.00% @ 50,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,137100,0,0,258,137358,24836,0,0,6896,31732,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,135232,0,0,396,135628,24761,0,0,7696,32457,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,135010,0,0,90,135100,24537,0,0,16789,41326,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 4",,,"Instructional Faculty, Summer Session - Extension, Range 1",57084,122520,,100567,0,0,33665,134233,17856,0,0,2219,20075,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,"Administrator III, Range 1",59376,188376,,118074,0,16063,24,134161,21535,0,0,7187,28722,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0|Department Chair - Academic Year, Range 4",72132,128400,,96964,0,0,37105,134069,19041,0,0,16064,35105,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,133737,0,0,90,133827,24345,0,0,16789,41134,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0",72132,128400,,106991,0,0,25637,132628,19417,0,0,7187,26605,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0",72132,128400,,105164,0,0,27108,132272,19571,0,0,18136,37707,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Physician, Range 1",,,,125724,207300,,131107,0,0,0,131107,23853,0,0,14316,38169,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,130859,0,0,138,130997,23756,0,0,18136,41892,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0|Department Chair - Academic Year, Range 5",72132,128400,,110427,0,0,20453,130880,20281,0,0,13552,33833,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 4",,,"Special Consultant, Range 0|Instructional Faculty, Summer Session - Extension, Range 1|Department Chair - Academic Year, Range 4",57084,122520,,82887,0,0,46497,129384,15465,0,0,18136,33601,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0",72132,128400,,92970,0,0,35310,128280,16809,0,0,18136,34945,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator IV, Range 1",,,,89844,258168,,127460,0,0,138,127598,24026,0,0,13552,37578,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,127148,0,0,138,127286,23938,0,0,18136,42074,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,126984,0,0,138,127122,23015,0,0,7109,30124,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,126403,0,0,396,126799,23004,0,0,13552,36556,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0|Instructional Faculty, Summer Session - Extension, Range 1",72132,128400,,87927,0,0,38548,126475,16372,0,0,17104,33476,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Department Chair - Academic Year, Range 5|Special Consultant, Range 0",72132,128400,,106221,0,0,18444,124666,19633,0,0,18136,37769,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,123863,0,0,258,124121,22497,0,0,18136,40633,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0",72132,128400,,107571,0,0,16408,123979,19940,0,0,13552,33492,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,118306,0,0,5012,123318,21597,0,0,18136,39733,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 4",,,"Instructional Faculty, Summer Session - Extension, Range 1",57084,122520,,94308,0,0,28338,122646,17901,0,0,18136,36038,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,"Lecturer - Academic Year, Range 2",59376,188376,,122645,0,0,0,122645,22092,0,0,13552,35644,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,121743,0,0,138,121881,22467,0,0,18136,40603,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Instructional Faculty - Academic Year, Range 4",,,"Instructional Faculty, Summer Session - Extension, Range 1",57084,122520,,98873,0,0,22665,121538,17856,0,0,11949,29805,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,121308,0,0,138,121446,22318,0,0,16833,39151,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
2011,California State University,"State University, San Marcos",,"Administrator III, Range 1",,,,59376,188376,,120655,0,0,318,120973,21888,0,0,13552,35440,2.00% @ 55,http://www.csusm.edu/HR/,,07/01/2014,San Diego,,,
