Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,California State University,"State University, Fullerton",,"President, Range 0",False,False,,223584,471516,,351244,0,0,15048,366292,97188,0,0,9171,106359,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,255336,0,0,15762,271098,70313,0,0,9697,80010,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty, Summer Session - Extension, Range 1|Special Consultant, Range 0",94656,180852,,160201,0,0,85898,246099,54479,0,0,23004,77483,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,229350,0,0,9690,239040,64001,0,0,23004,87005,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,231441,0,0,258,231699,63764,0,0,23004,86768,2.00% @ 60,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Instructional Faculty - Academic Year, Range 5",False,False,"Special Consultant, Range 0",82308,145692,,118674,0,0,111489,230163,33061,0,0,17401,50462,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Corporal, Range 0",False,False,,61824,95412,,91662,128234,0,9135,229031,43315,0,0,22271,65586,3.00% @ 50,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,216366,0,0,138,216504,60258,0,0,22963,83221,2.00% @ 60,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,215684,0,0,60,215744,60014,0,0,23004,83018,2.00% @ 62,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,215039,0,0,258,215297,59795,0,0,23004,82799,2.00% @ 60,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,213524,0,0,138,213662,59426,0,0,23004,82430,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Instructional Faculty - Academic Year, Range 4",False,False,"Special Consultant, Range 0",65364,139080,,129580,0,0,69279,198859,36553,0,0,24755,61308,2.00% @ 62,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Instructional Faculty - Academic Year, Range 5",False,False,"Special Consultant, Range 0",82308,145692,,107072,0,0,90816,197888,29628,0,0,1774,31403,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Instructional Faculty - Academic Year, Range 4",False,False,"Special Consultant, Range 0",65364,139080,,121712,0,0,75869,197580,33451,0,0,17123,50575,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator III, Range 1",False,False,,60864,206916,,171023,0,24782,1319,197124,57326,0,0,1011,58337,,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
2017,California State University,"State University, Fullerton",,"Administrator IV, Range 1",False,False,,92088,283560,,192660,0,0,4450,197109,54849,0,0,23004,77853,2.00% @ 55,http://hr.fullerton.edu/,,04/08/2022,Orange,,True,
