Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,California State University,"State University, Los Angeles",,"President, Range 0",,,,223584,350004,,325000,0,0,66575,391575,62221,0,0,7359,69580,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,229644,0,0,138,229782,44034,0,0,16602,60636,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,"Administrator IV, Range 1|Special Consultant, Range 0",89844,258168,,169024,0,43018,7421,219463,30521,0,0,7692,38213,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,216798,0,0,90,216888,42121,0,0,17430,59551,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,208806,0,0,396,209202,40129,0,0,18736,58865,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,199439,0,0,762,200201,38291,0,0,14034,52324,2.00% @ 60,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,190041,0,0,7343,197385,36554,0,0,14034,50588,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,192659,0,0,258,192917,36993,0,0,14034,51026,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,183256,0,0,60,183316,35318,0,0,18736,54054,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,"Administrator IV, Range 1",89844,258168,,182906,0,0,258,183164,31311,0,0,14034,45345,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,179627,0,0,258,179885,34498,0,0,14034,48531,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,179004,0,0,90,179094,34098,0,0,3688,37787,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,169206,0,0,573,169780,32547,0,0,18736,51284,2.00% @ 60,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,167435,0,0,396,167831,32164,0,0,14034,46197,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Physician, Range 1",,,,125724,207300,,165220,0,0,0,165220,31796,0,0,18736,50532,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,159784,0,0,396,160180,30824,0,0,18736,49561,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,160080,0,0,60,160140,30395,0,0,1770,32165,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,158292,0,0,396,158688,30374,0,0,7359,37733,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Grant-Related/Specially Funded Instructional Faculty - Ay, Range 0",,,,36804,173340,,157139,0,0,0,157139,30284,0,0,18736,49021,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator III, Range 1",,,,59376,188376,,95254,0,58023,318,153594,18288,0,0,18736,37024,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Department Chair - Academic Year, Range 5",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty - Academic Year, Range 5|Special Consultant, Range 0",72132,138684,,136495,0,0,16093,152588,22205,0,0,18736,40941,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,151959,0,0,138,152097,29750,0,0,18736,48487,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Instructional Faculty - Academic Year, Range 5",,,"Special Consultant, Range 0",72132,128400,,117756,0,0,33524,151280,26713,0,0,14034,40746,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Administrator IV, Range 1",,,,89844,258168,,147784,0,0,396,148180,28918,0,0,18736,47654,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
2012,California State University,"State University, Los Angeles",,"Department Chair - Academic Year, Range 5",,,"Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty, Extra Quarter Assignment, Qsyro, Range 5|Instructional Faculty - Academic Year, Range 5",72132,138684,,135004,0,0,12744,147748,21250,0,0,14034,35283,2.00% @ 55,http://www.calstatela.edu/hrm,,07/21/2016,Los Angeles,,,
