Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,California State University,"State University, Fresno",,"President, Range 0",,,,223584,350004,,298550,0,0,15048,313598,57244,0,0,7196,64440,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,257650,0,0,3838,261488,49426,0,0,9475,58902,2.00% @ 60,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,257988,0,0,3070,261058,49426,0,0,7196,56623,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,245461,0,0,2961,248422,47827,0,0,18736,66563,2.00% @ 60,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,224112,0,0,0,224112,43076,0,0,18736,61813,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,"Administrator IV, Range 1",89844,258168,,207616,0,6364,4055,218035,40095,0,0,14965,55060,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,183430,0,0,11706,195136,35552,0,0,18736,54289,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,189899,0,0,762,190661,36430,0,0,14034,50464,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,188374,0,0,762,189136,36028,0,0,5605,41632,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Department Chair - 12 Month, Range 5",,,,83088,159612,,175945,0,0,0,175945,33880,0,0,18736,52616,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,111299,0,63564,1022,175885,20262,0,0,7814,28076,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator III, Range 1",,,,59376,188376,,173988,0,0,762,174750,33505,0,0,12261,45766,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,169134,2799,0,1118,173051,33417,0,0,7442,40859,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,"Administrator IV, Range 1",89844,258168,,166704,0,0,396,167100,32547,0,0,18736,51284,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,159390,0,0,1032,160422,30634,0,0,18736,49370,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,159018,0,0,396,159414,30530,0,0,7359,37889,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,158226,0,0,90,158316,30872,0,0,18736,49609,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Physician, Range 1",,,,125724,207300,,156810,0,0,0,156810,30133,0,0,18736,48869,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
2012,California State University,"State University, Fresno",,"Administrator IV, Range 1",,,,89844,258168,,150658,0,0,762,151420,28882,0,0,14003,42885,2.00% @ 55,https://adminfinance.fresnostate.edu/hr/,,07/01/2014,Fresno  ,,,
