Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,California State University,Chancellor's Office,,"Chancellor Of The California State University, Range 0",False,False,"Advisor To The Board Of Trustees, Range 0",0,380000,,227432,0,161256,690,389378,6874,0,0,1275,8150,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Chancellor Of The California State University, Range 0",False,False,,0,380000,,346367,0,0,13269,359636,72822,0,0,20262,93085,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Executive Vice Chancellor And Chief Financial Officer, Range 0",False,False,,0,310000,,308835,0,0,15048,323883,64463,0,0,15306,79769,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Executive Vice Chancellor And Chief Academic Officer, Range 0",False,False,,0,285000,,282211,0,0,16998,299210,59265,0,0,8095,67359,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Vice Chancellor, Human Resources, Range 0",False,False,,0,255200,,252411,0,0,16944,269355,53068,0,0,8095,61163,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Vice Chancellor, University Relations And Advancement, Range 0",False,False,,0,240000,,238253,0,0,12360,250613,49907,0,0,20262,70170,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,196896,0,41405,396,238697,40974,0,0,14970,55944,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,228719,0,0,1248,229968,47621,0,0,8095,55716,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,228431,0,0,762,229193,47744,0,0,15306,63049,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,223253,0,0,90,223343,46788,0,0,20262,67050,2.00% @ 60,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,214715,0,0,396,215111,44709,0,0,8574,53283,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,212541,0,0,413,212953,44400,0,0,20262,64662,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator III, Range 1",False,False,"Administrator III, Range 1",59376,188376,,168744,0,40739,508,209990,35300,0,0,16593,51893,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,201036,0,0,263,201298,42209,0,0,14184,56393,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Executive Vice Chancellor And General Counsel, Range 0",False,False,,0,310000,,189432,0,0,9066,198497,39804,0,0,20262,60066,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,187115,0,0,195,187311,39402,0,0,8095,47496,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,180791,0,0,762,181553,38211,0,0,15306,53517,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Administrator IV, Range 1",False,False,,89844,258168,,179341,0,0,348,179689,38429,0,0,20262,58691,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
2013,California State University,Chancellor's Office,,"Executive Vice Chancellor And General Counsel, Range 0",False,False,,0,310000,,112380,0,60341,5270,177991,23066,0,0,3373,26439,2.00% @ 55,https://www.calstate.edu/csu-system/administration/chancellors-office-human-resource-services/Pages/default.aspx,,07/14/2014,Los Angeles,,,
