Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,California State University,"State University, San Francisco",,"President, Range 0",False,False,,223584,378648,,313994,0,0,75048,389042,81344,0,0,17032,98376,2.00% @ 60,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,275465,0,0,15162,290627,71600,0,0,9114,80714,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,245089,0,0,7458,252547,64772,0,0,18272,83044,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,231979,0,0,9996,241975,60973,0,0,17266,78239,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,221171,0,0,90,221261,57613,0,0,9114,66727,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - State Support, Range 1",79524,140760,,164951,0,39219,10512,214682,44519,0,0,22880,67399,2.00% @ 60,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,213900,0,0,258,214158,55397,0,0,10098,65495,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,200447,0,0,13107,213554,52729,0,0,17266,69995,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Grant-Related/Specially Funded Instructional Faculty - AY, Range 0",False,False,"Instructional Faculty, Summer Session - State Support, Range 1|Department Chair - 12 Month, Range 5|Research Fellow, Range 0",48528,190032,,163857,0,1552,36333,201742,38020,0,0,22880,60900,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Grant-Related/Specially Funded Instructional Faculty - 12Mo, Range 0",False,False,,55356,218508,,145943,0,47306,8327,201576,37960,0,0,15827,53787,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,189764,0,0,138,189902,49749,0,0,22880,72630,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,188149,0,0,762,188911,49457,0,0,17032,66489,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,186708,0,0,138,186846,48260,0,0,21681,69941,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,160980,0,23488,635,185103,41377,0,0,15032,56409,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,181310,0,0,138,181448,49001,0,0,22880,71881,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,177771,0,0,1642,179413,46080,0,0,9610,55690,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,159645,0,0,18534,178179,46091,0,0,8595,54686,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,174306,0,0,3860,178166,45361,0,0,22496,67858,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Special Consultant, Range 0",False,False,,23587,324000,,0,0,0,177600,177600,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,176287,0,0,0,176287,45716,0,0,9114,54830,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,176265,0,0,0,176265,45997,0,0,22880,68878,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,173553,0,0,396,173949,45552,0,0,18272,63825,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,,79524,140760,,138817,0,17291,16152,172260,31384,0,0,6446,37831,,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - State Support, Range 1|Instructional Faculty, Special Programs -For Credit, Range 5",79524,140760,,147460,0,0,23573,171033,38095,0,0,17032,55127,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,,79524,140760,,151492,0,17603,104,169198,40324,0,0,17266,57590,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,168400,0,0,301,168701,43624,0,0,21191,64815,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,168119,0,0,258,168377,44169,0,0,17266,61435,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,167351,0,0,0,167351,43549,0,0,21468,65017,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,165534,0,0,762,166296,43094,0,0,9114,52207,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Physician, Range 1",False,False,,144348,227328,,164806,0,0,0,164806,42917,0,0,8163,51080,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year *, Range 5",False,False,"Instructional Faculty, Summer Session - State Support, Range 1|Ft Faculty Unit - Additional Employment, Range 0|Research Fellow, Range 0",79524,140760,,150032,0,1948,12218,164198,32329,0,0,22880,55210,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,,79524,140760,,163344,0,0,0,163344,42534,0,0,17266,59799,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,"Special Consultant, Range 0",59376,201864,,152922,0,0,10223,163145,39882,0,0,20974,60856,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Grant-Related/Specially Funded Instructional Faculty - 12Mo, Range 0",False,False,,55356,218508,,162640,0,0,0,162640,42352,0,0,17266,59618,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,161982,0,0,0,161982,42666,0,0,22880,65546,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year *, Range 5",False,False,"Instructional Faculty, Special Programs -For Credit, Range 5|Department Chair - 12 Month, Range 5|Instructional Faculty, Summer Session - State Support, Range 1",79524,140760,,115225,0,15209,30722,161157,30346,0,0,18272,48619,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - State Support, Range 1",79524,140760,,126284,0,0,34452,160736,33041,0,0,18272,51314,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,"Department Chair - 12 Month, Range 5|Instructional Faculty, Special Programs -For Credit, Range 5|Instructional Faculty, Summer Session - State Support, Range 1",59376,201864,,129362,0,0,31298,160660,35232,0,0,9114,44346,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,"Instructional Faculty, Extension Non-Credit, Range 2",89844,276648,,152051,0,0,5850,157901,41373,0,0,22880,64254,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Summer Session - State Support, Range 1|Ft Faculty Unit - Additional Employment, Range 0",79524,140760,,131264,0,0,24317,155581,31143,0,0,24797,55940,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,154341,0,0,500,154841,40019,0,0,8595,48614,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Research Fellow, Range 0|Research Fellow, Range 0",79524,140760,,148296,0,3563,0,151860,25653,0,0,22880,48533,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year *, Range 5",False,False,"Research Fellow, Range 0",79524,140760,,140038,0,2229,9084,151352,27951,0,0,17266,45217,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Research Fellow, Range 0",79524,140760,,147379,0,2935,1000,151314,29444,0,0,3692,33137,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Lecturer - Academic Year, Range 5|Instructional Faculty, Summer Session - State Support, Range 1|Instructional Faculty, Special Programs -For Credit, Range 5",79524,140760,,112887,0,0,38341,151228,24865,0,0,9610,34475,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Special Programs -For Credit, Range 5|Substitute Instructional Faculty, Range 3",79524,140760,,109687,0,0,40921,150607,28398,0,0,22803,51201,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 4",False,False,,63156,134376,,122653,0,27860,0,150512,32568,0,0,8595,41163,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,144775,0,0,5000,149775,38710,0,0,8469,47179,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Physician, Range 6",False,False,,132324,208380,,149517,0,0,0,149517,38604,0,0,8595,47199,2.00% @ 62,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Physician, Range 6",False,False,,132324,208380,,148997,0,0,0,148997,39194,0,0,22880,62074,2.00% @ 60,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,148418,0,0,138,148556,38660,0,0,17266,55926,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year *, Range 4",False,False,"Instructional Faculty, Summer Session - State Support, Range 1",63156,134376,,100571,0,0,47777,148348,26256,0,0,17266,43522,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator III, Range 1",False,False,,59376,201864,,147520,0,0,90,147610,38250,0,0,22803,61053,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,"Research Fellow, Range 0|Department Chair - 12 Month, Range 5",79524,140760,,135730,0,10711,0,146441,30115,0,0,17266,47381,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,146027,0,0,396,146423,38656,0,0,17266,55922,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Administrator IV, Range 1",False,False,,89844,276648,,136398,0,0,9720,146119,35917,0,0,17266,53183,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 5",False,False,,79524,140760,,145157,0,0,0,145157,38095,0,0,17266,55361,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
2016,California State University,"State University, San Francisco",,"Instructional Faculty - Academic Year, Range 4",False,False,"Instructional Faculty, Summer Session - State Support, Range 1",63156,134376,,107318,0,0,37830,145148,28088,0,0,22803,50891,2.00% @ 55,https://hr.sfsu.edu/,,04/08/2022,San Francisco,,,
