Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,California State University,"State University, CA Maritime Academy",,"Administrator IV, Range 1",,,,89844,258168,,235231,0,0,7778,243009,44787,0,0,14034,58821,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator IV, Range 1",,,,89844,258168,,199461,0,0,396,199857,38289,0,0,14034,52322,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Instructional Faculty - Academic Year, Range 5",,,,72132,128400,,172663,0,0,66,172729,15696,0,0,18750,34446,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,,59376,188376,,158960,0,0,138,159098,30631,0,0,18736,49368,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,"Instructional Faculty, Extension Non-Credit, Range 1",59376,188376,,142592,0,0,13258,155850,27498,0,0,18736,46234,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,"Special Consultant, Range 0",59376,188376,,144382,0,0,4158,148540,27760,0,0,18736,46496,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,"Special Consultant, Range 0",59376,188376,,136517,0,0,9498,146015,26301,0,0,7938,34238,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"CMA Instructional Faculty -Cruise-Ay, Range 5",,,"Instructional Faculty, Extension Non-Credit, Range 2|Instructional Faculty, Extension Non-Credit, Range 1",90336,160740,,117113,0,0,25340,142453,22609,0,0,18736,41345,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator IV, Range 1",,,,89844,258168,,135611,0,0,215,135826,26106,0,0,1335,27441,2.00% @ 60,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,,59376,188376,,130617,0,0,258,130875,25238,0,0,17812,43050,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,,59376,188376,,128020,0,0,258,128278,24888,0,0,7196,32084,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,"Administrator III, Range 1",59376,188376,,124145,0,0,258,124403,23932,0,0,7938,31870,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Instructional Faculty - Academic Year, Range 5",,,"Instructional Faculty, Extension Non-Credit, Range 2",72132,128400,,108956,0,0,11360,120316,20789,0,0,7196,27985,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,"Special Consultant, Range 0",59376,188376,,92640,0,0,24776,117416,18315,0,0,18736,37051,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Department Chair - 12 Month, Range 5",,,"Instructional Faculty - Academic Year, Range 5|Administrator III, Range 1",83088,159612,,113498,0,0,0,113498,21863,0,0,14034,35897,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Instructional Faculty - Academic Year, Range 5",,,"Department Chair - 12 Month, Range 5",72132,128400,,111718,0,0,0,111718,21401,0,0,14034,35434,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"President, Range 0",,,,223584,350004,,104193,0,0,6230,110423,21357,0,0,1409,22766,2.00% @ 60,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Instructional Faculty - Academic Year, Range 3",,,"Instructional Faculty, Extension Non-Credit, Range 1|Instructional Faculty, Extension Non-Credit, Range 1",49716,111504,,84028,0,0,26000,110028,16273,0,0,17430,33703,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Administrator III, Range 1",,,,59376,188376,,109261,0,0,0,109261,21135,0,0,18736,39871,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Instructional Faculty - Academic Year, Range 5",,,"Department Chair - 12 Month, Range 5",72132,128400,,108163,0,0,0,108163,18379,0,0,18736,37116,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
2012,California State University,"State University, CA Maritime Academy",,"Instructional Faculty - Academic Year, Range 5",,,"Administrator III, Range 1|Instructional Faculty, Extension Non-Credit, Range 1",72132,128400,,102346,0,0,4500,106846,19332,0,0,2682,22014,2.00% @ 55,https://www.csum.edu/hr/,,07/01/2014,Solano,,,
