Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,California State University,"State University, Chico",,"President, Range 0",False,False,,223584,350004,,277469,0,0,66563,344032,58121,0,0,15306,73427,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,215323,0,0,1773,217096,44964,0,0,15306,60270,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,208222,0,0,1653,209875,43428,0,0,8095,51523,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,185009,0,0,1437,186446,38783,0,0,15306,54088,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,181724,0,0,1911,183635,38221,0,0,20262,58483,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,177392,0,0,1773,179165,37121,0,0,8095,45216,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,"Administrator IV, Range 1",89844,258168,,158169,0,16645,1292,176105,33151,0,0,11588,44739,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator III, Range 1",False,False,,59376,188376,,171978,0,0,1911,173889,35880,0,0,8095,43974,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,165239,0,0,2506,167745,34090,0,0,3618,37708,2.00% @ 60,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,160200,0,0,1515,161715,33365,0,0,8095,41460,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,150343,0,0,1773,152116,31997,0,0,20262,52259,2.00% @ 60,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,150242,0,0,933,151175,31370,0,0,8095,39465,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,150190,0,0,396,150586,31568,0,0,20262,51831,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Department Chair - 12 Month, Range 5",False,False,"Instructional Faculty, Summer Session - Extension, Range 1|Instructional Faculty - Academic Year, Range 5|Instructional Faculty - 12 Month, Range 5",84048,160572,,137360,0,257,11736,149354,29116,0,0,20262,49378,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,142510,0,0,1911,144421,29944,0,0,15306,45250,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator III, Range 1",False,False,"Administrator IV, Range 1",59376,188376,,138595,0,0,2277,140872,27771,0,0,20262,48033,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator III, Range 1",False,False,,59376,188376,,129628,0,0,8730,138359,27605,0,0,20262,47867,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Resident Director, International Programs - 12 Month, Range 5",False,False,"Instructional Faculty, Special Programs -For Credit, Range 5",92448,163632,,130382,0,0,7968,138350,27380,0,0,7878,35257,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator III, Range 1",False,False,,59376,188376,,136666,0,0,1515,138181,28860,0,0,20262,49122,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty - 12 Month, Range 5",73092,129360,,127473,0,8425,1126,137024,27476,0,0,17371,44847,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
2013,California State University,"State University, Chico",,"Administrator IV, Range 1",False,False,,89844,258168,,133699,0,0,1773,135472,28534,0,0,15306,43840,2.00% @ 55,http://www.csuchico.edu/hr/,,07/14/2014,Butte,,,
