Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,California State University,"State University, Channel Islands",,"President, Range 0",False,False,,223584,471516,,283039,0,0,72360,355399,78477,0,0,23004,101481,2.00% @ 62,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator IV, Range 1",False,False,,92088,283560,,208294,0,45339,25874,279507,57671,0,0,18871,76541,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator IV, Range 1",False,False,,92088,283560,,209641,0,0,396,210037,58333,0,0,23004,81337,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator IV, Range 1",False,False,,92088,283560,,204764,0,0,396,205160,56853,0,0,23004,79857,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator IV, Range 1",False,False,,92088,283560,,200812,0,0,83,200895,55365,0,0,10764,66129,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Special Programs -for Credit, Range 5|Instructional Faculty, Summer Session - Extension, Range 1|FT Faculty Unit - Additional Employment, Range 0|FT Faculty Unit - Additional Employment, Range 0",82308,145692,,126702,0,0,70040,196742,31008,0,0,9171,40179,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Instructional Faculty - Academic Year, Range 5",False,False,"Instructional Faculty, Special Programs -for Credit, Range 5|FT Faculty Unit - Additional Employment, Range 0|FT Faculty Unit - Additional Employment, Range 0",82308,145692,,137315,0,0,46758,184073,26576,0,0,17123,43699,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator IV, Range 1",False,False,,92088,283560,,153921,0,24919,0,178841,41607,0,0,6879,48486,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator III, Range 1",False,False,,60864,206916,,124003,0,50432,330,174765,34393,0,0,19170,53563,2.00% @ 55,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
2017,California State University,"State University, Channel Islands",,"Administrator III, Range 1",False,False,,60864,206916,,155711,0,0,16220,171931,68138,0,0,23004,91142,3.00% @ 50,http://www.csuci.edu/hr/employment.htm,,04/08/2022,Ventura ,,True,
