Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,California State University,"State University, San Diego",,"President, Range 0",False,False,,223584,370248,,366887,0,0,12552,379439,91283,0,0,21416,112699,2.00% @ 60,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,268331,0,0,82513,350844,72426,0,0,3692,76118,2.00% @ 62,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,270506,0,0,32577,303083,66867,0,0,16102,82968,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,252393,0,0,34194,286587,69144,0,0,16102,85245,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,251845,0,0,10396,262241,62370,0,0,16102,78472,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,235904,0,0,23590,259494,63884,0,0,16102,79986,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,238512,0,0,16398,254910,59057,0,0,21416,80474,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,249916,0,0,396,250312,62441,0,0,21416,83858,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,228400,0,0,7128,235528,58129,0,0,16102,74231,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
2015,California State University,"State University, San Diego",,"Administrator IV, Range 1",False,False,,89844,271224,,212073,0,0,21799,233872,57545,0,0,8514,66058,2.00% @ 55,http://bfa.sdsu.edu/hr/,,04/08/2022,San Diego,,,
