Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"African American Museum, California",,"Executive Director, California African American Museum",False,False,,181656,202368,,173458,0,0,2095,175553,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Deputy Director for Development and Chief Curator,False,False,,133608,148920,,126178,0,0,2122,128300,42644,0,0,9397,52040,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Program Manager, California Museum of Afro-American History and Culture",False,False,,84816,105396,,99650,0,0,2095,101745,33034,0,0,9397,42431,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Program Manager, California Museum of Afro-American History and Culture",False,False,,84816,105396,,96994,0,0,2370,99364,32675,0,0,9397,42072,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Program Manager, California Museum of Afro-American History and Culture",False,False,,84816,105396,,96404,0,0,2095,98499,32675,0,0,9397,42072,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Staff Services Manager I,False,False,,81120,100776,,91968,0,0,2095,94063,30971,0,0,9397,40367,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Program Manager, California Museum of Afro-American History and Culture",False,False,,84816,105396,,81850,0,0,2095,83945,29301,0,0,23377,52678,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Librarian, Range A",False,False,,65016,81408,,76224,0,0,2390,78614,25607,0,0,8822,34429,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Registrar of Interpretive Collections,False,False,,65100,81516,,73320,48,0,3617,76985,25642,0,0,17186,42828,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,69834,0,0,1970,71804,24561,0,0,17825,42386,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Accounting Officer (Specialist), Range A",False,False,,59568,74556,,64856,0,0,3487,68343,23453,0,0,22767,46219,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Exhibit Designer/Coordinator,False,False,,71772,89136,,65653,0,0,1820,67473,22402,0,0,8593,30996,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Guide II, Historical Monument (Supervisor)",False,False,,50856,63684,,58855,0,0,1820,60675,20032,0,0,9397,29428,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Museum Curator I,False,False,,55860,69084,,49872,0,5008,2020,56900,16871,0,0,7831,24701,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Staff Services Analyst, Range C",False,False,,56712,70992,,55378,0,0,275,55653,17839,0,0,2055,19893,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Administrative Assistant I/Science Center, California",False,False,,51456,63744,,23624,0,0,1009,24633,3355,0,0,0,3355,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Administrative Assistant I/Science Center, California",False,False,,51456,63744,,15428,0,0,757,16185,2657,0,0,0,2657,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Administrative Assistant I/Science Center, California",False,False,,51456,63744,,12875,0,0,580,13455,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Administrative Assistant I/Science Center, California",False,False,,51456,63744,,11608,0,0,408,12016,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,9960,0,0,359,10319,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,9811,0,0,359,10169,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,9129,0,0,352,9480,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,9118,0,0,319,9437,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,8959,0,0,299,9258,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,5513,0,0,259,5772,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Staff Services Analyst, Range C",False,False,,56712,70992,,4584,0,0,0,4584,1512,0,0,11,1524,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Administrative Assistant I/Science Center, California",False,False,,51456,63744,,3288,0,0,178,3466,1109,0,0,0,1109,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,3084,0,0,105,3189,169,0,0,0,169,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,"Administrative Assistant I/Science Center, California",False,False,,51456,63744,,1729,0,0,24,1753,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"African American Museum, California",,Guide II/California Afro-American Museum,False,False,,42681,54391,,144,0,0,0,144,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,

