Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,Agricultural Labor Relations Board,,"Chairperson, Agricultural Labor Relations Board",,,,132179,132179,,124818,0,0,0,124818,22337,0,0,2353,24690,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Member, Agriculture Labor Relations Board",,,,128109,128109,,116035,0,0,0,116035,22080,0,0,15416,37497,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Executive Secretary, Agriculture Labor Relations Board",,,,112248,121404,,111300,0,0,0,111300,20925,0,0,15119,36044,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Member, Agriculture Labor Relations Board",,,,128109,128109,,108108,0,0,0,108108,0,0,0,1819,1819,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",,,,92184,113736,,103636,0,0,18,103654,18889,0,0,5632,24521,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Hearing Officer I, Agricultural Labor Relations Board",,,,89928,108756,,102704,0,0,0,102704,19041,0,0,7220,26261,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",,,,92184,113736,,92557,0,9478,0,102035,17168,0,0,9985,27152,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",,,,92184,113736,,101028,0,0,6,101034,17784,0,0,10932,28717,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Senior Board Counsel, ALRB",,,,92184,113736,,100748,0,0,0,100748,18889,0,0,10932,29821,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Regional Director II, Agricultural Labor Relations Board",,,,89436,98604,,93589,0,0,6,93595,17211,0,0,11852,29063,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Regional Director, Agricultural Labor Relations Board",,,,81348,89688,,90197,0,0,0,90197,16452,0,0,15416,31868,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Assistant General Counsel II, Agricultural Labor Relations Board",,,,76164,93936,,85982,0,0,0,85982,15817,0,0,5632,21449,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Board Counsel II, ALRB, Range B",,,,76164,93936,,83963,0,0,0,83963,15601,0,0,5632,21233,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,"Board Counsel II, ALRB, Range B",,,,76164,93936,,83512,0,0,0,83512,15601,0,0,5632,21233,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Agricultural Labor Relations Board,,Staff Services Manager I,,,,60948,73524,,71130,0,0,0,71130,12672,0,0,3026,15698,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
