Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,Agricultural Labor Relations Board,,"General Counsel, Agriculture Labor Relations Board",False,False,,206244,212436,,192074,0,0,10572,202646,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney IV, Range A",False,False,,139728,179448,,175093,0,0,7301,182394,56418,0,0,3235,59653,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,Supervising Administrative Law Judge,False,False,,141792,187440,,176312,0,0,2485,178797,60374,0,0,18130,78504,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Chairperson, Agricultural Labor Relations Board",False,False,,181156,181156,,171156,0,0,493,171649,56985,0,0,18906,75891,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Member, Agriculture Labor Relations Board",False,False,,175578,175578,,166961,0,0,0,166961,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Member, Agriculture Labor Relations Board",False,False,,175578,175578,,163405,0,0,900,164305,55230,0,0,9397,64627,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Member, Agriculture Labor Relations Board",False,False,,175578,175578,,164072,0,0,100,164172,55230,0,0,9397,64627,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney IV, Range A",False,False,,139728,179448,,155930,0,0,7511,163441,46733,0,0,22693,69426,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Administrative Law Judge, Range B",False,False,,129384,170160,,162895,0,0,100,162995,54808,0,0,22693,77500,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Member, Agriculture Labor Relations Board",False,False,,175578,175578,,161250,0,0,850,162100,55230,0,0,23377,78607,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"C.E.A., Range B",False,False,,117060,241728,,149492,0,0,8524,158016,51423,0,0,23377,74800,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",False,False,,126432,162312,,154961,0,0,300,155261,51030,0,0,8857,59887,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Executive Secretary, Agriculture Labor Relations Board",False,False,,149364,166404,,146530,0,0,8269,154799,52122,0,0,23377,75499,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",False,False,,126432,162312,,151603,0,0,300,151903,46733,0,0,22693,69426,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Associate General Counsel, Unfair Labor Practices, Agricultural Labor Relations Board",False,False,,139980,163824,,141336,0,0,6265,147601,48197,0,0,23377,71574,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",False,False,,126432,162312,,135310,0,0,0,135310,46401,0,0,22693,69094,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney, Range B",False,False,,104496,134076,,128031,0,0,600,128631,42544,0,0,8857,51401,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney, Range B",False,False,,104496,134076,,123548,0,0,600,124148,41063,0,0,22693,63756,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney, Range B",False,False,,104496,134076,,113297,0,0,10585,123882,40708,0,0,10309,51017,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Administrative Law Judge, Range B",False,False,,129384,170160,,65749,0,57244,200,123193,16863,0,0,831,17694,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Information Technology Specialist II, Range A",False,False,,97560,130716,,120378,0,0,600,120978,39883,0,0,136,40019,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney, Range B",False,False,,104496,134076,,112705,0,0,600,113305,37297,0,0,17569,54866,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Administrative Law Judge, Range B",False,False,,129384,170160,,112577,0,0,450,113027,39934,0,0,22864,62798,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney III, Range A",False,False,,126432,162312,,103835,0,0,3160,106995,38908,0,0,17569,56477,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Agricultural Labor Relations Board,,"Attorney, Range B",False,False,,104496,134076,,99462,0,0,2042,101503,33270,0,0,13213,46483,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
