Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,Air Resources Board,,Air Resources Supervisor I,False,False,,130632,163500,,163949,0,0,99621,263570,54259,0,0,9397,63656,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"Vehicle Program Specialist, Air Resources Board",False,False,,136812,171228,,89855,0,167200,3171,260225,29124,0,0,13839,42962,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,Air Resources Supervisor I,False,False,,130632,163500,,172814,0,80428,6430,259672,58859,0,0,25480,84339,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,Air Resources Supervisor I,False,False,,130632,163500,,143666,0,104856,550,249072,49660,0,0,16699,66358,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,Air Resources Supervisor II,False,False,,143484,179604,,147804,0,86996,573,235373,49313,0,0,8614,57926,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"Executive Officer, California Air Resource Board",False,False,,219792,238812,,218213,0,0,10845,229058,73290,0,0,23377,96666,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"C.E.A., Range B",False,False,,117060,241728,,203254,0,0,10958,214212,67538,0,0,9397,76934,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"C.E.A., Range B",False,False,,117060,241728,,196905,0,0,16288,213193,67537,0,0,9397,76934,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"C.E.A., Range B",False,False,,117060,241728,,203850,0,0,8842,212692,67537,0,0,136,67673,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"C.E.A., Range B",False,False,,117060,241728,,200218,0,0,10367,210585,67537,0,0,18217,85754,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,Air Resources Supervisor I,False,False,,130632,163500,,181593,0,24502,600,206695,58753,0,0,2162,60916,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,"C.E.A., Range B",False,False,,117060,241728,,201600,0,0,2523,204123,67537,0,0,9397,76934,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,Air Resources Supervisor I,False,False,,130632,163500,,155504,0,47850,325,203679,51626,0,0,9397,61023,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Air Resources Board,,Air Resources Supervisor II,False,False,,143484,179604,,178641,0,24459,500,203600,59604,0,0,18217,77821,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
