Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,Alcoholic Beverage Control Appeals Board,,Executive Officer/Alcoholic Beverage Control Appeals Board,False,False,,150348,183276,,151018,0,0,8778,159796,53557,0,0,23377,76934,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,Supervising Attorney,False,False,,126444,162312,,153412,0,0,600,154012,51057,0,0,18217,69274,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Attorney III, Range A",False,False,,126432,162312,,116884,0,0,22706,139590,37567,0,0,2771,40338,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,64178,0,0,4967,69145,21997,0,0,8861,30859,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Legal Secretary, Range A",False,False,,49440,61908,,54947,0,0,4622,59569,18939,0,0,8861,27801,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Student Assistant, Range D",False,False,,43860,48276,,37481,0,0,300,37781,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Member, Alcoholic Beverage Control Appeals Board",False,False,,25500,25500,,24888,0,0,0,24888,8160,0,0,136,8296,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Member, Alcoholic Beverage Control Appeals Board",False,False,,25500,25500,,24888,0,0,0,24888,8160,0,0,136,8296,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Alcoholic Beverage Control Appeals Board,,"Member, Alcoholic Beverage Control Appeals Board",False,False,,25500,25500,,19568,0,0,0,19568,8160,0,0,23377,31537,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,

