Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range B",False,False,,89304,210156,,176960,0,0,143,177103,55229,0,0,22989,78218,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range B",False,False,,89304,210156,,167493,0,0,6572,174065,52011,0,0,18261,70272,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,166071,0,0,3289,169360,51515,0,0,10656,62171,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Director, Dept Of Alcoholic Beverage Control",False,False,,194000,194000,,168166,0,0,95,168261,86786,0,0,25914,112700,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range B",False,False,,89304,210156,,166826,0,0,14,166840,52892,0,0,22867,75759,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range B",False,False,,89304,210156,,154075,0,0,6097,160171,48245,0,0,22616,70861,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Administrative Law Judge II (Specialist), Alcoholic  Beverage Control",False,False,,116136,146172,,145352,0,0,7305,152657,45322,0,0,17252,62574,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,Chief Deputy Director/Department Of Alcoholic Beverage Control,False,False,,164136,177516,,145657,0,0,5991,151649,72680,0,0,24969,97649,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Administrative Law Judge II (Specialist), Alcoholic  Beverage Control",False,False,,116136,146172,,142034,0,0,7305,149339,45322,0,0,21788,67110,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Administrative Law Judge II (Specialist), Alcoholic  Beverage Control",False,False,,116136,146172,,143805,0,0,4490,148296,45322,0,0,21788,67110,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Administrative Law Judge II (Specialist), Alcoholic  Beverage Control",False,False,,116136,146172,,146052,0,0,1613,147665,45322,0,0,9872,55194,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,139969,0,0,5368,145337,68079,0,0,12499,80577,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Attorney III, Range A",False,False,,113556,145680,,139577,0,0,1560,141137,43018,0,0,9756,52774,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,140224,0,0,15,140239,69134,0,0,24619,93753,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,124690,0,0,10267,134958,37749,0,0,8537,46286,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,129321,0,0,4919,134240,63230,0,0,23508,86738,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,132644,0,0,0,132644,63814,0,0,12219,76034,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,127590,0,0,4726,132316,60137,0,0,7253,67390,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,126862,0,0,5081,131943,62297,0,0,24181,86478,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,127334,0,0,7,127341,54768,0,0,11616,66384,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,126339,0,0,97,126436,62238,0,0,24200,86438,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,126027,0,0,0,126027,59221,0,0,5865,65086,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,125616,0,0,0,125616,59023,0,0,5857,64880,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,120266,0,0,5108,125374,59023,0,0,23969,82992,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,122983,0,0,2331,125314,57909,0,0,6730,64639,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Agent, Alcoholic Beverage Control, Range C",False,False,,75060,103788,,85524,38189,0,1104,124817,43931,0,0,22001,65932,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Supervising Investigator, Alcoholic Beverage Control",False,False,,89784,116868,,100937,0,23725,0,124662,48595,0,0,10655,59251,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,119477,0,0,4482,123958,56103,0,0,5659,61763,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,115722,0,2766,5361,123848,60136,0,0,19477,79614,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,Information Technology Manager II,False,False,,111144,135096,,123761,0,0,0,123761,39729,0,0,22178,61906,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,118302,0,0,4662,122964,57777,0,0,19326,77103,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,117420,0,0,4709,122128,58800,0,0,23955,82755,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,101178,0,0,20709,121887,59023,0,0,11909,70932,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,116862,0,0,4662,121525,57733,0,0,23883,81616,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"C.E.A., Range A",False,False,,89304,210156,,118880,0,0,2354,121234,59073,0,0,23958,83032,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,118386,0,0,2307,120694,57014,0,0,11771,68785,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,119454,0,0,1173,120627,58243,0,0,23918,82162,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,119996,0,0,44,120040,59023,0,0,23969,82992,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Supervising Investigator, Alcoholic Beverage Control",False,False,,89784,116868,,119745,0,0,23,119768,56371,0,0,7136,63508,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,119536,0,0,0,119536,59023,0,0,23964,82987,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,District Administrator Alcoholic Beverage Control,False,False,,96552,125772,,114596,0,0,4685,119281,57959,0,0,23896,81855,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Supervising Investigator, Alcoholic Beverage Control",False,False,,89784,116868,,114571,0,0,4546,119117,56436,0,0,23801,80237,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Agent, Alcoholic Beverage Control, Range C",False,False,,75060,103788,,104180,9607,0,4934,118721,49236,0,0,5224,54459,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Alcoholic Beverage Control, Department of",,"Supervising Investigator, Alcoholic Beverage Control",False,False,,89784,116868,,114126,0,0,4437,118563,54978,0,0,11645,66623,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
