Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,Arts Council,,Staff Services Manager III,False,False,,105108,119340,,110786,0,0,3820,114606,35756,0,0,8901,44657,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Director, California Arts Council",False,False,,139164,170592,,104108,0,0,1579,105687,33359,0,0,5928,39288,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Information Officer II,False,False,,82344,102324,,94441,0,2713,7720,104874,30659,0,0,8901,39560,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Staff Services Manager II (Managerial),False,False,,95712,108708,,94204,0,0,2320,96524,29739,0,0,132,29871,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Staff Services Manager II (Managerial),False,False,,95712,108708,,93967,0,0,2420,96387,29645,0,0,132,29777,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Staff Services Manager I,False,False,,78756,97836,,89818,0,806,3820,94445,28270,0,0,8901,37171,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Information Technology Specialist I, Range B",False,False,,78648,105408,,86706,0,0,3670,90376,29304,0,0,20743,50047,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,73440,2080,0,6780,82300,24835,0,0,21519,46354,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,79464,0,0,2242,81706,24614,0,0,1357,25971,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Staff Services Manager I,False,False,,78756,97836,,78049,0,0,3520,81569,25227,0,0,8526,33753,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Information Officer I (Specialist), Range A",False,False,,66216,82884,,76852,0,0,3670,80522,24835,0,0,8401,33237,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Associate Arts Grants Administrator,False,False,,66216,82884,,73508,0,0,6780,80288,24835,0,0,20871,45707,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Special Consultant,False,False,,0,1200000,,66465,0,0,1650,68115,16210,0,0,3709,19919,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,63491,0,0,3670,67161,20504,0,0,8401,28906,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,Staff Services Manager I,False,False,,78756,97836,,50722,0,13679,2320,66720,16413,0,0,14782,31195,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,63935,0,0,2230,66165,19880,0,0,961,20841,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,62469,0,0,3670,66139,20279,0,0,7944,28223,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,61675,93,0,3670,65438,20016,0,0,7944,27960,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,60852,0,0,3670,64522,19828,0,0,8401,28230,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Accounting Analyst, Range A",False,False,,69516,87072,,60955,0,0,0,60955,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,53494,1745,0,3618,58858,17574,0,0,8401,25975,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Staff Services Analyst, Range C",False,False,,55056,68928,,55088,0,0,3670,58758,18349,0,0,7944,26293,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Accounting Officer (Specialist), Range A",False,False,,57828,72384,,47424,0,0,3420,50844,15898,0,0,12074,27972,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,39782,0,0,2370,42152,12499,0,0,759,13258,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,37712,0,2942,1092,41746,11735,0,0,5396,17131,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,32724,0,0,1813,34536,11260,0,0,9359,20618,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,24805,0,0,948,25754,8347,0,0,3392,11739,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Seasonal Clerk, Range A",False,False,,33432,37704,,23763,0,0,1529,25292,7221,0,0,0,7221,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Arts Council,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,18769,0,0,0,18769,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
