Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,Baldwin Hills Conservancy,,"Executive Officer, Baldwin Hills Conservancy Board",,,,87132,94224,,81486,0,0,0,81486,15075,0,0,14084,29159,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,55298,0,0,0,55298,10269,0,0,5046,15314,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Executive Secretary I, Range A",,,,36240,44064,,37429,0,0,0,37429,7051,0,0,5313,12364,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,600,0,0,0,600,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,600,0,0,0,600,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,600,0,0,0,600,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,400,0,0,0,400,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,300,0,0,0,300,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,200,0,0,0,200,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Baldwin Hills Conservancy,,"Member, Baldwin Hills Conservancy Board",,,,25920,25920,,100,0,0,0,100,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,

