Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,"Equalization, Board of",,Executive Director/Board of Equalization,False,False,,207960,227172,,188682,0,0,10966,199647,57138,0,0,19441,76579,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range C",False,False,,93372,226200,,178258,0,0,10343,188601,53139,0,0,4677,57817,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Senior Petroleum and Mining Appraisal Engineer,False,False,,142344,178200,,162097,0,0,7045,169142,49489,0,0,22958,72447,1.25% @ 65,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Attorney V, Range A",False,False,,139692,178284,,151798,0,0,13949,165746,46513,0,0,22312,68825,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,154296,171852,,147370,0,0,9378,156749,46040,0,0,18811,64851,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,154296,171852,,146213,0,0,9442,155656,46511,0,0,18839,65350,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,163917,163917,,150601,0,0,0,150601,43640,0,0,1888,45528,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,163917,163917,,149481,0,0,0,149481,41411,0,0,20704,62114,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,154296,171852,,139371,0,0,9536,148906,41758,0,0,10796,52554,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,163917,163917,,147283,0,0,0,147283,0,0,0,8344,8344,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Tax Counsel IV, Range A",False,False,,132240,169788,,141841,0,0,4918,146759,41376,0,0,22099,63475,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,154296,171852,,135661,0,0,8796,144457,41758,0,0,23156,64914,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,163917,163917,,142757,0,0,0,142757,43640,0,0,20704,64344,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Tax Counsel III (Specialist), Range A",False,False,,119712,153576,,137768,0,0,1560,139328,41376,0,0,9883,51259,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range C",False,False,,93372,226200,,130566,0,0,8430,138997,39944,0,0,19474,59418,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range B",False,False,,93372,226200,,129930,0,0,8816,138746,41905,0,0,24292,66197,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range A",False,False,,93372,226200,,128287,0,0,8313,136600,38200,0,0,3398,41598,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Attorney III, Range A",False,False,,119712,153576,,134206,0,0,1560,135766,41376,0,0,22099,63475,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Tax Counsel III (Specialist), Range A",False,False,,119712,153576,,127322,0,0,1560,128882,41376,0,0,17539,58915,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range B",False,False,,93372,226200,,118328,0,0,4667,122994,35494,0,0,11383,46877,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Tax Counsel III (Specialist), Range A",False,False,,119712,153576,,116558,0,0,4895,121453,34016,0,0,4970,38987,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Administrator III, Board of Equalization",False,False,,115140,137304,,60523,0,55171,1820,117513,18169,0,0,6615,24784,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range A",False,False,,93372,226200,,108710,0,0,7483,116194,32820,0,0,11110,43930,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Information Technology Specialist I, Range C",False,False,,84252,112896,,53487,0,60804,1820,116111,16684,0,0,13757,30441,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Assistant to Board Member/Board of Equalization, Range A",False,False,,109812,122328,,111729,0,0,3120,114849,33107,0,0,2071,35178,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Specialist III, Board of Equalization",False,False,,104460,124548,,107042,0,0,7702,114744,32017,0,0,3322,35339,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"C.E.A., Range A",False,False,,93372,226200,,110195,0,0,3120,113315,32820,0,0,4647,37467,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Assistant to Board Member/Board of Equalization, Range A",False,False,,109812,122328,,107980,0,0,3127,111107,33107,0,0,18052,51158,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Administrator II, Board of Equalization",False,False,,90756,118596,,102715,0,0,7483,110198,32097,0,0,23452,55550,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Tax Counsel III (Specialist), Range A",False,False,,119712,153576,,109243,0,0,697,109940,32201,0,0,15161,47362,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Specialist II, Board of Equalization",False,False,,85920,112956,,100991,0,0,7275,108266,30570,0,0,13758,44328,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Senior Specialist Property Auditor Appraiser (Board of Equalization),False,False,,81852,107580,,97681,3032,0,7078,107790,29116,0,0,2620,31736,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Specialist III, Board of Equalization",False,False,,104460,124548,,99106,0,0,7702,106807,32962,0,0,22571,55533,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Specialist III, Board of Equalization",False,False,,104460,124548,,102236,0,0,2203,104439,33708,0,0,18404,52112,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,"Business Taxes Specialist II, Board of Equalization",False,False,,85920,112956,,100657,0,0,3120,103777,30570,0,0,10486,41056,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Principal Property Appraiser (Board of Equalization),False,False,,103224,117228,,96184,0,0,7078,103262,29113,0,0,10837,39950,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Senior Specialist Property Auditor Appraiser (Board of Equalization),False,False,,81852,107580,,95774,0,0,7078,102852,29116,0,0,10362,39478,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Equalization, Board of",,Supervising Property Appraiser (Board of Equalization),False,False,,86544,107568,,94007,0,0,7467,101474,29227,0,0,18614,47842,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
