Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Equalization, Board of",,Executive Director/Board of Equalization,False,False,,219552,239832,,206086,0,0,10048,216134,69063,0,0,18217,87279,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"C.E.A., Range C",False,False,,117060,241728,,196605,0,0,8341,204946,65205,0,0,136,65341,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Senior Petroleum and Mining Appraisal Engineer,False,False,,150288,188136,,187307,0,0,8012,195319,62922,0,0,23214,86136,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"Attorney V, Range A",False,False,,147480,188220,,176433,0,0,630,177063,59207,0,0,22693,81899,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,162888,181428,,165725,0,0,8990,174715,54863,0,0,9397,64259,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"Attorney IV, Range A",False,False,,139728,179448,,170160,0,0,600,170760,56259,0,0,22693,78952,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,175576,175576,,169776,0,0,23,169799,53765,0,0,1897,55662,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,175576,175576,,166409,0,0,83,166492,0,0,0,9397,9397,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"C.E.A., Range C",False,False,,117060,241728,,157893,0,0,8394,166287,53515,0,0,18217,71732,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"C.E.A., Range B",False,False,,117060,241728,,153372,0,0,8225,161597,52513,0,0,23377,75889,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,175576,175576,,160063,0,0,0,160063,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,162888,181428,,150836,0,0,8502,159338,51239,0,0,23377,74616,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"Attorney IV, Range A",False,False,,139728,179448,,144399,0,0,7436,151835,46276,0,0,3327,49603,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"C.E.A., Range B",False,False,,117060,241728,,143254,0,0,8070,151324,47993,0,0,9397,57389,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"C.E.A., Range A",False,False,,117060,241728,,143039,0,0,6165,149204,46874,0,0,2330,49205,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"Attorney III, Range A",False,False,,126432,162312,,147113,0,0,550,147663,51030,0,0,17569,68599,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Board Member/Board of Equalization,True,False,,175576,175576,,145670,0,0,-90,145580,46733,0,0,16698,63432,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,162888,181428,,138155,0,0,5112,143267,45297,0,0,113,45409,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Deputy to Board Member/Board of Equalization,False,False,,162888,181428,,141581,0,0,1296,142877,46733,0,0,8610,55343,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,Senior Specialist Property Appraiser (Board of Equalization),False,False,,86424,108156,,107748,1568,30803,2520,142639,36905,0,0,18851,55756,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"C.E.A., Range A",False,False,,117060,241728,,132527,0,0,600,133127,43908,0,0,1890,45798,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Equalization, Board of",,"Assistant to Board Member/Board of Equalization, Range A",False,False,,115932,129144,,125766,0,0,4458,130224,40625,0,0,1996,42621,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
