Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,"Governors of Community Colleges, Board of",,Chancellor,False,False,,299928,299928,,276805,0,0,30000,306805,56094,0,0,17806,73900,State Teachers Retirement System,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,Deputy Chancellor,False,False,,160116,173160,,145926,0,65881,-639,211168,43391,0,0,19424,62815,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Vice Chancellor, Finance and Facilities",False,False,,134400,150000,,103716,0,104745,0,208461,29699,0,0,16187,45885,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range B",False,False,,82956,190620,,163327,0,0,7135,170462,45010,0,0,3756,48766,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Administrator for Fiscal Planning and Administration, California Community Colleges",False,False,,85392,106932,,103740,0,40994,0,144734,29363,0,0,16648,46011,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Specialist in Academic Planning and Development, California Community Colleges, Range A",False,False,,74676,93468,,94338,0,40671,2500,137509,27295,0,0,15670,42965,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Executive Vice Chancellor,Institutional Effectiveness and Innovation",False,False,,143424,159792,,132028,0,0,60,132088,36065,0,0,1984,38049,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Executive Vice Chancellor, Workforce and Digital Strategies",False,False,,143424,159792,,121509,0,0,0,121509,36065,0,0,19424,55490,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range B",False,False,,82956,190620,,121382,0,0,52,121434,36065,0,0,19424,55490,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Attorney III, Range A",False,False,,106272,136332,,119677,0,0,90,119767,33951,0,0,2285,36237,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Vice Chancellor, Governmental Relations",False,False,,134400,150000,,117969,0,0,-1286,116684,34626,0,0,17954,52580,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Administrator for Student Services Planning and Development,California Community Colleges",False,False,,85392,106932,,98307,0,18246,0,116553,28935,0,0,7747,36682,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Specialist in Student Services Planning and Development, California Community Colleges, Range A",False,False,,74676,93468,,73733,0,39786,2229,115747,20854,0,0,6380,27234,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Director, Communications",False,False,,107304,119520,,112368,0,0,0,112368,31973,0,0,19424,51397,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,Systems Software Specialist III (Supervisory),False,False,,86220,113340,,112359,0,0,0,112359,30415,0,0,3466,33880,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,Assistant Vice Chancellor of College Finance,False,False,,107304,119520,,112137,0,0,0,112137,32073,0,0,19424,51497,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Vice Chancellor, Academic Affairs",False,False,,120648,134400,,111512,0,0,30,111542,29988,0,0,1819,31807,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Systems Software Specialist III (Technical), Range A",False,False,,79728,104784,,103152,0,676,2500,106328,27963,0,0,2471,30434,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Governors of Community Colleges, Board of",,"Systems Software Specialist III (Technical), Range A",False,False,,79728,104784,,102742,0,0,2500,105242,28118,0,0,2902,31020,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
