Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Governors of Community Colleges, Board of",,Chancellor,False,False,,337380,337380,,316513,0,0,16300,332813,53720,0,0,26866,80585,State Teachers Retirement System,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range B",False,False,,89304,210156,,186231,0,0,1330,187561,56908,0,0,7849,64757,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,Deputy Chancellor,False,False,,172356,186384,,172806,0,0,1300,174106,52707,0,0,11607,64314,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Attorney III, Range A",False,False,,113556,145680,,151321,0,0,0,151321,42041,0,0,23096,65137,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Executive Vice Chancellor, Educational Services and Support",False,False,,154380,172008,,147480,0,0,1323,148803,45175,0,0,18969,64144,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range B",False,False,,89304,210156,,145493,0,0,1300,146793,45238,0,0,12388,57625,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Attorney IV, Range A",False,False,,125436,161052,,145651,0,0,930,146581,43720,0,0,5324,49044,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range B",False,False,,89304,210156,,142837,0,0,1300,144137,43146,0,0,5046,48192,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Specialist In Fiscal Planning and Administration, Californiacommunity Colleges, Range A",False,False,,84408,105648,,77867,0,62729,780,141376,24902,0,0,18992,43894,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Community College Program Assistant II, Range A",False,False,,73152,91560,,121079,0,0,13526,134604,22073,0,0,3726,25799,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Information Technology Specialist I, Range C",False,False,,80580,107988,,79617,0,53968,520,134106,25440,0,0,19093,44534,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Specialist In Fiscal Planning and Administration, Californiacommunity Colleges, Range A",False,False,,84408,105648,,84855,0,43424,1300,129579,28655,0,0,19530,48185,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,Information Technology Manager I,False,False,,96192,128904,,119626,0,0,1300,120926,36095,0,0,6002,42098,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Vice Chancellor, Finance and Facilities",False,False,,144672,161460,,118660,0,0,1300,119960,35825,0,0,2181,38006,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Director, Communications",False,False,,115512,128652,,118270,0,0,1300,119570,37009,0,0,23194,60203,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Specialist In Fiscal Planning and Administration, Californiacommunity Colleges, Range A",False,False,,84408,105648,,80316,0,38222,780,119318,26182,0,0,20963,47145,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Information Technology Specialist I, Range C",False,False,,80580,107988,,79644,0,36585,520,116750,25440,0,0,19093,44534,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,Information Technology Manager I,False,False,,96192,128904,,115100,0,0,1300,116400,36095,0,0,24131,60226,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range A",False,False,,89304,210156,,111903,0,0,1300,113203,36603,0,0,20213,56816,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"C.E.A., Range A",False,False,,89304,210156,,58558,0,54198,0,112756,20522,0,0,5715,26237,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,Administrator for Vocational Education California Community Colleges,False,False,,96516,120852,,108979,0,0,1300,110279,33854,0,0,11380,45234,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Governors of Community Colleges, Board of",,"Vice Chancellor, Governmental Relations",False,False,,129864,144672,,108411,0,0,1353,109764,35014,0,0,18624,53638,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
