Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Staff Services Analyst (General), Range C",,,,43896,53352,,46459,28934,13131,0,88524,9610,0,0,15628,25238,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Executive Director, Osteopathic Medical Board Of California",,,,75564,81732,,67840,0,14691,0,82531,15386,0,0,12468,27854,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Executive Director, Osteopathic Medical Board Of California",,,,75564,81732,,58562,13920,0,0,72481,12033,0,0,11852,23885,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Executive Officer, Naturopathic Medicine Committee",,,Examination Proctor,53088,64068,,61149,0,0,0,61149,12013,0,0,6392,18405,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,60474,0,0,18,60492,11987,0,0,6036,18024,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Staff Services Analyst (General), Range A",,,,33804,41112,,36228,17695,0,0,53923,7350,0,0,6036,13386,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,48583,0,0,0,48583,10004,0,0,15512,25516,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Staff Services Analyst (General), Range C",,,,43896,53352,,45667,0,0,0,45667,8974,0,0,5747,14721,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Office Technician (Typing), Range A",,,,32232,39168,,36363,42,0,0,36406,7344,0,0,5761,13105,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Osteopathic Medical Board of California,Ostepathic Medical Brd of CA,"Member, Naturopathic Medicine Committee",,,,25920,25920,,400,0,0,0,400,0,0,0,,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
