Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,Executive Director/Board Of Pilot Commissioners,,,,110580,119616,,86655,0,0,0,86655,0,0,0,7240,7240,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Assistant Director, Board Of Pilot Commissioners For The Bays Of San Francisco, San Pablo And  Suisun",,,,79260,85716,,35053,0,8108,4369,47530,6273,0,0,9390,15663,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,Staff Services Manager I,,,Staff Services Manager I,60948,73524,,16615,0,0,0,16615,0,0,0,0,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Staff Services Analyst (General), Range C",,,,43896,53352,,12146,0,2494,0,14640,2132,0,0,1771,3904,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Administrative Assistant I, Range A",,,,43896,53352,,11594,0,0,0,11594,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Staff Services Analyst (General), Range C",,,,43896,53352,,11290,0,0,0,11290,0,0,0,1264,1264,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Commissioner-3/State Board Of Pilot Commissioners, San Francisco San Pablo And Suisan Bays",,,,0,7200,,7200,0,0,6,7206,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Commissioner-3/State Board Of Pilot Commissioners, San Francisco San Pablo And Suisan Bays",,,,0,7200,,7200,0,0,0,7200,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Pilot Commissioners, Board of",Bays SF S. Pablo & Suisun,"Commissioner-3/State Board Of Pilot Commissioners, San Francisco San Pablo And Suisan Bays",,,,0,7200,,7200,0,0,0,7200,0,0,0,,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,

