Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"Auditor's Office, California State",,State Auditor/Bureau Of State Audits,,,,175000,175000,,168694,0,0,3713,172406,30998,0,0,5636,36634,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"C.E.A., Range 4",,,,74076,160572,,129237,0,0,3044,132281,24176,0,0,14084,38260,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,Chief Deputy State Auditor/Bureau Of State Audits,,,,147900,147900,,129538,0,0,0,129538,23824,0,0,10844,34668,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,Attorney IV,,,,101832,125724,,123880,0,0,4500,128380,22212,0,0,1991,24203,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,Attorney IV,,,,101832,125724,,123116,0,0,936,124052,22270,0,0,2990,25260,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"C.E.A., Range 4",,,,74076,160572,,116222,0,0,3600,119822,22931,0,0,14084,37015,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"C.E.A., Range 4",,,,74076,160572,,110630,0,0,3600,114230,21154,0,0,14084,35238,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau Of State Audits",,,,98460,114000,,107514,0,0,6157,113670,20193,0,0,14084,34277,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,Attorney IV,,,,101832,125724,,112136,0,0,600,112736,20399,0,0,1991,22389,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau Of State Audits",,,,98460,114000,,108034,0,0,3900,111934,20193,0,0,10844,31037,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau Of State Audits",,,,98460,114000,,102549,0,0,8400,110949,19658,0,0,10844,30502,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau Of State Audits",,,,98460,114000,,105382,0,0,5100,110482,20193,0,0,14084,34277,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
