Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Auditor's Office, California State",,State Auditor/Bureau of State Audits,False,False,,182963,188451,,181907,0,0,3497,185404,45788,0,0,7268,53056,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,69081,0,110403,2400,181884,18031,0,0,12134,30164,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range B",False,False,,77436,172908,,161087,0,0,3000,164087,39768,0,0,2884,42652,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,Chief Deputy State Auditor/Bureau of State Audits,False,False,,161592,166428,,161179,0,0,0,161179,40438,0,0,14024,54462,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range B",False,False,,77436,172908,,104471,0,46730,0,151201,27031,0,0,16684,43715,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,Attorney IV,False,False,,106464,136704,,135019,0,0,2400,137419,32895,0,0,2294,35188,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range A",False,False,,77436,172908,,127931,0,0,5393,133324,32982,0,0,18200,51182,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range B",False,False,,77436,172908,,125916,0,0,6664,132580,31915,0,0,7268,39183,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,Attorney IV,False,False,,106464,136704,,129399,0,0,2400,131799,32895,0,0,14024,46919,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,Attorney IV,False,False,,106464,136704,,129053,0,0,2540,131593,32895,0,0,18200,51095,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range A",False,False,,77436,172908,,131085,0,0,0,131085,33343,0,0,7268,40611,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,Attorney IV,False,False,,106464,136704,,128133,0,0,2400,130533,32895,0,0,18200,51095,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range B",False,False,,77436,172908,,121313,0,0,6660,127972,31854,0,0,18200,50055,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range C",False,False,,77436,172908,,120784,0,0,5358,126142,30291,0,0,18200,48492,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,115613,0,0,10103,125716,29829,0,0,14024,43854,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,116374,0,0,8303,124677,29829,0,0,18200,48030,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,115346,0,0,8603,123949,29514,0,0,7268,36782,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,115130,0,0,8303,123434,29829,0,0,14024,43854,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,115320,0,0,6203,121523,29829,0,0,18200,48030,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,113097,0,0,8303,121400,29829,0,0,18200,48030,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Fraud Investigator III, Bureau of State Audits",False,False,,85056,111840,,103917,0,0,14933,118850,27174,0,0,18200,45375,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"C.E.A., Range B",False,False,,77436,172908,,21024,0,95306,0,116330,5311,0,0,3506,8817,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,111080,0,0,3900,114980,28093,0,0,7268,35361,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Senior Auditor Evaluator III, Bureau of State Audits",False,False,,85056,111840,,105082,0,0,8398,113480,27174,0,0,18200,45375,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Auditor Specialist III, Bureau of State Audits (Information Systems)",False,False,,85056,111840,,107175,0,0,5998,113173,27120,0,0,18200,45320,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Senior Auditor Evaluator III, Bureau of State Audits",False,False,,85056,111840,,103985,0,0,8098,112083,27166,0,0,14024,41190,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Principal Auditor, Bureau of State Audits",False,False,,102936,122772,,100590,0,0,5239,105829,24727,0,0,1984,26711,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Senior Auditor Evaluator III, Bureau of State Audits",False,False,,85056,111840,,101687,0,0,3900,105587,27174,0,0,18200,45375,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Senior Auditor Evaluator II, Bureau of State Audits",False,False,,77148,101412,,96610,0,0,8802,105412,24670,0,0,18200,42870,1.25% @ 65,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Auditor's Office, California State",,"Senior Auditor Evaluator II, Bureau of State Audits",False,False,,77148,101412,,97234,0,0,6102,103337,24640,0,0,7268,31909,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
