Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Alternative Energy Authority Fund, California",,"Executive Director, California Alternative Energy and Advan Ced Transportation Financing Autho Rity",False,False,,142848,159168,,86365,0,35977,2103,124446,27143,0,0,14782,41924,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager II (Supervisory),False,False,,86448,107400,,96404,0,0,3120,99524,32180,0,0,8901,41081,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,92525,0,0,3770,96295,28688,0,0,8901,37589,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,82023,0,0,6913,88936,26015,0,0,10279,36293,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager II (Supervisory),False,False,,86448,107400,,84399,0,0,3770,88169,31483,0,0,22173,53656,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,77109,0,0,3770,80879,25218,0,0,22173,47391,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,76876,0,0,3620,80496,24309,0,0,16554,40863,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,77854,0,0,2343,80197,24562,0,0,299,24861,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,74177,0,0,3720,77897,24225,0,0,22173,46398,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,71237,16,0,3470,74723,22720,0,0,8656,31376,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,Staff Services Manager I,False,False,,78756,97836,,68515,0,0,3620,72135,22776,0,0,16217,38993,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,61320,0,0,3620,64940,21624,0,0,16123,37747,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,57941,41,0,2220,60201,18311,0,0,132,18443,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Alternative Energy Authority Fund, California",,"Executive Assistant, Range A",False,False,,49500,61944,,56247,0,0,3620,59867,18349,0,0,8362,26711,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
