Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Children & Families Commission, California",,"Executive Director, California Children And Families Commission",False,False,,142965,154615,,133176,0,0,953,134129,28772,0,0,13424,42197,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"C.E.A., Range B",False,False,,74076,165384,,126187,0,0,42,126228,25988,0,0,1984,27972,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"C.E.A., Range B",False,False,,74076,165384,,111760,0,0,590,112351,23566,0,0,6944,30510,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Systems Software Specialist III (Supervisory),False,False,,76992,101196,,94192,0,0,0,94192,20303,0,0,17396,37699,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"C.E.A., Range A",False,False,,74076,165384,,91959,0,0,0,91959,19398,0,0,6944,26342,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"C.E.A., Range A",False,False,,74076,165384,,84819,0,0,28,84847,17623,0,0,3018,20642,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,68688,85956,,83359,0,0,0,83359,17113,0,0,2924,20038,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,68688,85956,,68540,0,0,13152,81692,8666,0,0,6000,14667,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,68688,85956,,80992,0,0,0,80992,16751,0,0,1804,18555,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,68688,85956,,79942,0,0,-112,79830,17113,0,0,9914,27028,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,68688,85956,,79580,0,0,0,79580,17025,0,0,12896,29921,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,68688,85956,,79568,0,0,-515,79054,17113,0,0,13084,30197,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Senior Programmer Analyst (Specialist), Range A",False,False,,66852,87864,,78963,0,0,0,78963,16199,0,0,2924,19123,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Staff Services Manager II (Supervisory),False,False,,66912,83148,,73899,0,0,59,73958,15938,0,0,13424,29362,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Research Program Specialist II,False,False,,63708,79740,,73312,0,0,0,73312,15875,0,0,16844,32720,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Staff Services Manager II (Supervisory),False,False,,66912,83148,,72406,0,0,0,72406,15949,0,0,17396,33345,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Research Program Specialist II,False,False,,63708,79740,,72039,0,0,11,72050,15875,0,0,16844,32720,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Senior Programmer Analyst (Specialist), Range A",False,False,,66852,87864,,71925,0,0,0,71925,15789,0,0,16826,32615,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Staff Information Systems Analyst (Specialist), Range A",False,False,,60780,79920,,67855,0,0,0,67855,14322,0,0,6277,20598,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Education Programs Consultant, Range A",False,False,,68688,85956,,65895,0,407,0,66302,13454,0,0,2107,15561,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Education Administrator I,False,False,,76332,95592,,65169,0,0,48,65217,0,0,0,1323,1323,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Staff Services Manager I,False,False,,60948,75732,,62047,0,0,0,62047,13625,0,0,17349,30974,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Information Officer I (Specialist), Range A",False,False,,52800,66096,,61712,324,0,0,62035,13186,0,0,6552,19738,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,61712,0,0,0,61712,13160,0,0,6552,19713,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Staff Services Manager I,False,False,,60948,75732,,60325,0,0,0,60325,13378,0,0,17111,30489,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,59016,0,0,0,59016,13160,0,0,16844,30004,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Information Officer II,False,False,,63744,79212,,53236,0,0,5571,58807,13079,0,0,17396,30476,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Education Administrator I,False,False,,76332,95592,,58675,0,0,0,58675,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,57780,0,0,39,57820,12590,0,0,12241,24830,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,56933,0,0,6,56939,13160,0,0,16844,30004,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,55989,0,0,-32,55958,12184,0,0,12896,25080,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Staff Services Manager II (Supervisory),False,False,,66912,83148,,30996,0,24409,0,55405,2579,0,0,2248,4826,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,54849,0,0,0,54849,12041,0,0,12896,24937,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,54665,0,0,0,54665,12039,0,0,16844,28884,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,52945,0,0,0,52945,11844,0,0,16844,28689,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Research Analyst II -General-, Range A",False,False,,55428,69408,,52065,0,0,0,52065,11367,0,0,16033,27399,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,51173,0,0,0,51173,10970,0,0,6552,17523,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,48493,0,0,206,48699,11337,0,0,12896,24233,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,Assistant Information Officer,False,False,,43896,54948,,48222,419,0,0,48641,9684,0,0,1804,11488,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,47229,0,0,359,47588,9827,0,0,337,10164,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Office Technician (Typing), Range A",False,False,,32232,40344,,35625,0,0,0,35625,7998,0,0,16062,24060,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,31914,0,0,0,31914,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Office Technician (Typing), Range A",False,False,,32232,40344,,32371,0,0,-586,31786,7082,0,0,12805,19887,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Information Officer I (Specialist), Range A",False,False,,52800,66096,,17875,0,0,-429,17446,3743,0,0,2655,6398,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Office Technician (Typing), Range A",False,False,,32232,40344,,11256,0,0,0,11256,2278,0,0,641,2919,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Children & Families Commission, California",,"Member, California Children And Families Commission",False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
