Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Children & Families Commission, California",,"C.E.A., Range B",False,False,,89304,210156,,100127,0,256478,0,356605,31240,0,0,3490,34730,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"Executive Director, California Children and Families Commission",False,False,,172356,186384,,159900,0,0,1300,161200,51232,0,0,19340,70572,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"C.E.A., Range A",False,False,,89304,210156,,117738,0,0,1300,119038,37041,0,0,11659,48700,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,Information Technology Manager I,False,False,,96192,128904,,115041,0,0,1300,116341,36095,0,0,19403,55498,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,Education Administrator I,False,False,,96612,120996,,112420,0,0,1330,113750,33882,0,0,4226,38109,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,Education Administrator I,False,False,,96612,120996,,107698,0,0,1307,109005,33882,0,0,23934,57816,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,84408,105648,,98547,0,0,1300,99847,29585,0,0,10524,40109,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,84408,105648,,96962,0,0,1300,98262,29585,0,0,3739,33324,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"Information Technology Specialist I, Range C",False,False,,80580,107988,,96415,0,0,1300,97715,30238,0,0,18292,48530,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"Child Development Consultant, Range A",False,False,,84408,105648,,95697,0,0,1300,96997,29585,0,0,10524,40109,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Children & Families Commission, California",,"Information Technology Specialist I, Range C",False,False,,80580,107988,,95287,0,0,1300,96587,30238,0,0,23060,53298,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
