Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Coastal Commission, California",,"C.E.A., Range C",False,False,,89304,210156,,173787,0,55531,1300,230619,54636,0,0,22524,77160,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Executive Director/California Coastal Zone Commission,False,False,,176364,185184,,173257,0,0,1511,174768,53442,0,0,19476,72918,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Chief Counsel II C.E.A.,False,False,,167376,195768,,151342,0,0,3120,154462,48860,0,0,24162,73022,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Environmental Program Manager I (Supervisory),False,False,,128604,159876,,147682,0,0,0,147682,46138,0,0,12482,58620,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Senior Engineer, San Francisco Bay Conservation and Development Commission",False,False,,117192,146676,,141300,0,0,3000,144300,43658,0,0,11051,54709,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Assistant Chief Counsel,False,False,,151812,177564,,140813,0,0,3120,143933,44449,0,0,23848,68297,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Attorney III, Range A",False,False,,113556,145680,,136061,0,0,2860,138921,42041,0,0,10688,52729,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Attorney III, Range A",False,False,,113556,145680,,137482,0,0,0,137482,41175,0,0,4731,45906,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"C.E.A., Range B",False,False,,89304,210156,,129309,0,0,1300,130609,40596,0,0,19777,60373,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"C.E.A., Range A",False,False,,89304,210156,,122614,0,0,1300,123914,36989,0,0,4495,41484,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"C.E.A., Range A",False,False,,89304,210156,,122401,0,0,1300,123701,37041,0,0,5577,42618,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Coastal Program Manager,False,False,,80664,100224,,94650,0,25194,1763,121607,29562,0,0,19394,48957,1.25% @ 65,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"C.E.A., Range A",False,False,,89304,210156,,118163,0,0,2550,120713,37114,0,0,24108,61222,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Attorney III, Range A",False,False,,113556,145680,,117110,0,0,3120,120230,36887,0,0,18051,54939,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Attorney III, Range A",False,False,,113556,145680,,116337,0,0,0,116337,36378,0,0,4400,40778,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Information Officer III C.E.A.,False,False,,102840,116784,,107818,0,0,1340,109158,33702,0,0,19186,52889,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"C.E.A., Range A",False,False,,89304,210156,,106208,0,0,1300,107508,32003,0,0,4083,36086,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"C.E.A., Range A",False,False,,89304,210156,,105954,0,0,1300,107254,35157,0,0,24032,59189,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Information Technology Supervisor II,False,False,,87156,116772,,105074,0,0,1300,106374,32700,0,0,23829,56529,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Information Technology Specialist I, Range C",False,False,,80580,107988,,102475,0,0,1267,103742,29434,0,0,4457,33891,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Information Technology Specialist I, Range C",False,False,,80580,107988,,100617,0,0,1300,101917,30238,0,0,22280,52518,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,"Engineering Geologist, Range D",False,False,,99948,125160,,95571,0,0,3000,98571,30156,0,0,22826,52982,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Senior Environmental Scientist (Specialist),False,False,,81792,101748,,97853,0,0,0,97853,29363,0,0,4425,33788,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Coastal Commission, California",,Coastal Program Manager,False,False,,80664,100224,,93956,0,0,1300,95256,28923,0,0,3782,32705,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
