Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Executive Secretary, California Debt & Investment Advisory Commission/State Treasurer'S Office",,,,110580,119616,,107571,0,0,24,107595,20208,0,0,15416,35625,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"C.E.A., Range 2",,,,74076,160572,,87130,0,0,-494,86636,17820,0,0,15416,33237,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,Research Manager III -General-,,,,81348,89688,,78366,0,0,18,78384,13970,0,0,1939,15909,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,Staff Services Manager II (Supervisory),,,,66912,80724,,74397,0,0,0,74397,13913,0,0,15416,29330,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,Staff Services Manager I,,,,60948,73524,,67976,0,0,0,67976,11953,0,0,3026,14979,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,Staff Services Manager I,,,,60948,73524,,66090,0,0,0,66090,12061,0,0,6140,18201,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Research Program Specialist I (Economics), Range A",,,,57996,70488,,65427,0,0,0,65427,12149,0,0,5802,17951,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Research Program Specialist II (Economics), Range A",,,,63708,77412,,61094,0,0,18,61112,10744,0,0,5522,16266,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Research Program Specialist I (Economics), Range A",,,,57996,70488,,53284,0,0,0,53284,9809,0,0,5729,15538,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,Research Analyst II (Economics),,,,55428,67392,,51656,0,0,0,51656,10077,0,0,11372,21449,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,46662,0,0,0,46662,8619,0,0,5802,14421,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,44865,0,0,0,44865,8423,0,0,11372,19794,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,40874,0,0,0,40874,3813,0,0,1985,5798,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Graphic Designer I, Range A",,,,38724,47064,,40149,0,0,0,40149,7420,0,0,5533,12953,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,38862,0,0,0,38862,7358,0,0,5533,12890,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,38607,0,0,18,38625,6644,0,0,1804,8448,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Associate Program Specialist, California Debt Advisor Commission",,,,52800,64176,,26932,0,0,0,26932,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,25004,0,0,8,25012,0,0,0,10643,10643,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
