Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Executive Secretary, California Debt & Investment Advisory Commission/State Treasurer's Office",False,False,,115608,128808,,118139,0,0,1208,119348,31296,0,0,18200,49496,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"C.E.A., Range A",False,False,,77436,172908,,101013,0,0,0,101013,27049,0,0,18200,45249,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,Research Manager III -General-,False,False,,85056,96576,,90006,0,0,0,90006,23017,0,0,18200,41217,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,Staff Services Manager II (Supervisory),False,False,,69960,86940,,84358,0,0,0,84358,20439,0,0,2884,23323,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Research Program Specialist II (Economics), Range A",False,False,,66600,83364,,81015,0,0,0,81015,20427,0,0,6886,27313,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Research Program Specialist II (Economics), Range A",False,False,,66600,83364,,78006,0,0,7,78013,20256,0,0,16993,37248,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,Staff Services Manager I,False,False,,63732,79176,,72152,0,0,1420,73572,18354,0,0,13461,31815,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,Staff Services Manager I,False,False,,63732,79176,,73275,0,0,0,73275,18349,0,0,7268,25617,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Research Program Specialist I (Economics), Range A",False,False,,60636,75900,,72421,0,0,0,72421,18442,0,0,6852,25294,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,57403,0,0,0,57403,13810,0,0,2100,15910,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,55384,0,0,0,55384,14265,0,0,6852,21116,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Graphic Designer II, Range A",False,False,,46476,58188,,54901,0,0,0,54901,13892,0,0,6852,20743,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",False,False,,45888,57456,,52962,0,0,0,52962,13960,0,0,6852,20811,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",False,False,,45888,57456,,50763,0,0,0,50763,13293,0,0,13492,26785,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,49665,0,0,-56,49609,7825,0,0,6736,14562,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,Research Analyst II (Economics),False,False,,57948,72576,,48313,136,0,0,48448,12354,0,0,6628,18982,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,43615,0,0,0,43615,12725,0,0,13492,26216,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Staff Services Analyst (General), Range C",False,False,,45888,57456,,39367,0,0,630,39997,9755,0,0,3814,13569,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Administrative Assistant I, Range A",False,False,,45888,57456,,39951,0,0,0,39951,10758,0,0,17030,27788,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Debt and Investment Advisory Commission Fund, California",,"Office Technician (Typing), Range A",False,False,,33708,42180,,32311,0,0,0,32311,8565,0,0,6628,15193,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
