Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Debt Limit Allocation Committee, California",,Staff Services Manager II (Supervisory),False,False,,86448,107400,,98179,0,0,7750,105930,32180,0,0,22173,54353,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,Staff Services Manager I,False,False,,78756,97836,,81714,0,0,6978,88693,26478,0,0,17169,43647,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,Staff Services Manager I,False,False,,78756,97836,,76448,0,0,3604,80053,24654,0,0,10279,34933,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,74805,0,0,3620,78425,24835,0,0,16213,41049,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,68165,1034,0,3770,72968,22164,0,0,8401,30566,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,65895,3149,0,3607,72652,21376,0,0,8267,29643,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,63474,0,0,3588,67062,21376,0,0,16523,37899,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,63827,0,0,2180,66007,19839,0,0,972,20811,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,62245,0,0,3607,65853,20279,0,0,8267,28547,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Staff Services Analyst, Range C",False,False,,55056,68928,,61708,0,0,3620,65328,20385,0,0,8362,28747,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,60801,0,0,3115,63916,19267,0,0,20782,40049,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,52962,111,0,3120,56193,17284,0,0,8168,25452,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,45814,0,0,2740,48554,14906,0,0,6107,21013,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,45807,0,0,0,45807,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Office Technician (Typing), Range A",False,False,,40428,50604,,34012,0,0,2935,36947,10798,0,0,7480,18278,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Executive Assistant, Range A",False,False,,49500,61944,,17887,0,0,1240,19127,5940,0,0,3296,9236,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,6846,0,0,50,6896,2270,0,0,11,2281,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,6846,0,0,-257,6589,2270,0,0,1313,3583,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Debt Limit Allocation Committee, California",,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,6846,0,0,-433,6414,2270,0,0,3383,5653,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,

