Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Earthquake Authority, California",,Chief Communications Officer,False,False,,171792,176952,,167720,0,0,0,167720,52038,0,0,21953,73991,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Attorney IV, Range A",False,False,,125436,161052,,150107,0,0,1175,151283,47903,0,0,21901,69804,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Attorney V, Range A",False,False,,132504,169116,,25462,0,123126,0,148588,4504,0,0,1487,5991,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Research Specialist V -Various Studies-, Range D",False,False,,141480,153684,,141105,0,0,5630,146735,45184,0,0,22022,67205,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Attorney III, Range A",False,False,,113556,145680,,136156,0,0,0,136156,43018,0,0,9756,52774,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"C.E.A., Range A",False,False,,89304,210156,,127341,0,0,0,127341,39343,0,0,22157,61500,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Attorney III, Range A",False,False,,113556,145680,,127112,0,0,0,127112,40134,0,0,21523,61657,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"C.E.A., Range A",False,False,,89304,210156,,109288,0,0,0,109288,35355,0,0,21939,57294,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Senior Management Auditor,False,False,,80664,105252,,99287,0,0,3911,103199,30952,0,0,21718,52670,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Accounting Administrator II,False,False,,80664,100224,,98567,0,0,3725,102292,29475,0,0,3529,33004,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Information Officer II,False,False,,76848,95484,,90222,0,0,3548,93770,28080,0,0,9508,37588,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,73488,91296,,90100,0,0,3393,93492,26849,0,0,4397,31246,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,73488,91296,,89951,0,0,3393,93344,26849,0,0,3391,30240,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager II (Supervisory),False,False,,80664,100224,,91064,0,0,0,91064,29475,0,0,21641,51116,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,74844,93684,,86508,405,0,0,86913,27551,0,0,20313,47864,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,73488,91296,,85413,0,0,0,85413,26412,0,0,9421,35833,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,74844,93684,,76462,4361,0,3565,84388,24497,0,0,8864,33361,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Information Technology Associate, Range D",False,False,,63648,85296,,83839,0,0,0,83839,25085,0,0,2975,28060,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,73488,91296,,80139,0,0,3118,83257,23792,0,0,2891,26683,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,74844,93684,,78647,3297,0,0,81944,24476,0,0,8818,33294,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager II (Supervisory),False,False,,80664,100224,,77796,0,0,1220,79016,24490,0,0,9301,33791,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Information Officer II,False,False,,76848,95484,,76987,0,0,0,76987,23723,0,0,9280,33003,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Accounting Analyst, Range A",False,False,,64872,81252,,76892,0,0,0,76892,23895,0,0,8830,32725,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,76315,0,0,0,76315,22748,0,0,2996,25744,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,73488,91296,,74951,0,0,0,74951,23642,0,0,21334,44976,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,74844,93684,,73727,1138,0,0,74865,23399,0,0,16186,39586,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,73129,0,0,0,73129,22748,0,0,8770,31518,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,72447,0,0,-109,72338,22748,0,0,10641,33389,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Investment Officer I, Public Employees' Retirement System, Range D",False,False,,67872,84960,,68473,1989,0,0,70461,20477,0,0,2969,23446,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Marketing Specialist, California State Lottery",False,False,,67872,84960,,65247,4954,0,-109,70093,20397,0,0,9237,29633,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,69720,0,0,0,69720,22665,0,0,20752,43416,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Personnel Analyst, Range A",False,False,,61788,77352,,68828,79,0,-12,68894,20659,0,0,3541,24200,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Budget Analyst, Range A",False,False,,61788,77352,,66961,0,0,0,66961,21403,0,0,16086,37489,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,66238,0,0,0,66238,21667,0,0,16113,37780,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,66132,0,0,0,66132,19653,0,0,2836,22488,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,64649,318,0,0,64966,20209,0,0,8595,28804,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Information Technology Associate, Range C",False,False,,57876,77568,,60188,3911,0,0,64099,18845,0,0,8296,27141,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Earthquake Authority, California",,"Associate Business Management Analyst, Range A",False,False,,61788,77352,,62902,0,0,695,63597,20315,0,0,19548,39863,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
