Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,"Earthquake Authority, California",,"C.E.A., Range B",False,False,,93372,226200,,199727,0,0,10960,210687,60890,0,0,26022,86912,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Senior Management Auditor,False,False,,88548,115548,,101511,0,99385,7111,208007,31145,0,0,23382,54526,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"C.E.A., Range A",False,False,,93372,226200,,159749,0,0,9950,169698,49439,0,0,19149,68588,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Chief Communications Officer,False,False,,179604,185004,,162390,0,0,3120,165510,48609,0,0,11198,59807,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Research Specialist V -Various Studies-, Range D",False,False,,152280,165408,,137813,0,0,5911,143724,44063,0,0,22572,66635,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Information Technology Manager II,False,False,,122004,148308,,134799,0,0,3120,137919,40138,0,0,3564,43703,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Attorney III, Range A",False,False,,119712,153576,,134449,0,0,1560,136009,41376,0,0,9883,51259,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Attorney III, Range A",False,False,,119712,153576,,134019,0,0,1560,135579,40761,0,0,22093,62854,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"C.E.A., Range A",False,False,,93372,226200,,128418,0,0,3120,131538,39313,0,0,23774,63087,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"C.E.A., Range B",False,False,,93372,226200,,124565,0,0,3120,127685,40210,0,0,24147,64357,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"C.E.A., Range A",False,False,,93372,226200,,116787,0,0,4720,121507,36110,0,0,23783,59892,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Information Technology Manager I,False,False,,100572,134772,,117228,0,0,3120,120348,36475,0,0,23827,60302,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Attorney III, Range A",False,False,,119712,153576,,116938,0,0,926,117864,35281,0,0,13398,48679,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Information Technology Specialist II, Range A",False,False,,92400,123816,,105939,0,0,3120,109059,31468,0,0,2571,34039,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Accounting Administrator II,False,False,,84336,104784,,95240,0,0,6975,102215,28359,0,0,2555,30915,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager II (Supervisory),False,False,,84336,104784,,93744,0,0,6975,100719,28035,0,0,3851,31886,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Financial Accountant II,False,False,,92760,115272,,95199,0,0,4720,99919,28349,0,0,4168,32517,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager II (Supervisory),False,False,,84336,104784,,91846,0,0,6807,98653,27680,0,0,10091,37770,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager II (Supervisory),False,False,,84336,104784,,93031,0,0,3120,96151,27568,0,0,3474,31042,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"C.E.A., Range A",False,False,,93372,226200,,90299,0,0,3120,93419,26891,0,0,2401,29292,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,78252,97944,,85378,0,0,6619,91997,25879,0,0,10033,35913,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,78252,97944,,81558,2387,0,6563,90509,25953,0,0,10061,36015,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager II (Supervisory),False,False,,84336,104784,,87240,0,0,3120,90360,28359,0,0,23132,51491,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Information Officer II,False,False,,80340,99828,,87121,0,0,3120,90241,27018,0,0,10657,37675,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,76836,95448,,81987,0,0,6564,88551,25238,0,0,22176,47414,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Information Technology Associate, Range D",False,False,,69864,93636,,85105,0,0,3120,88225,25341,0,0,2297,27638,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,78252,97944,,84626,0,0,3120,87746,26508,0,0,18143,44652,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Information Technology Specialist I, Range C",False,False,,84252,112896,,80153,0,0,4160,84313,23861,0,0,15334,39195,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,76836,95448,,80410,0,0,3120,83530,25094,0,0,22834,47928,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,64596,80868,,70652,0,8467,3120,82239,21683,0,0,10004,31687,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,76836,95448,,79115,0,0,3120,82235,23503,0,0,2818,26320,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Senior Marketing Specialist, California State Lottery",False,False,,78252,97944,,79000,0,0,3120,82120,24829,0,0,17625,42454,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Investment Officer II, Public Employees' Retirement System",False,False,,85644,107184,,77352,0,0,3124,80476,24468,0,0,21512,45980,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,76836,95448,,72741,0,0,6088,78829,22128,0,0,10213,32342,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Information Technology Specialist I, Range A",False,False,,69780,93516,,75576,18,0,3120,78714,23660,0,0,17053,40713,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Associate Accounting Analyst, Range A",False,False,,67824,84948,,75275,0,0,3120,78395,22991,0,0,9837,32828,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Staff Services Manager I,False,False,,76836,95448,,75053,0,0,3120,78173,23497,0,0,17466,40963,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,64596,80868,,71568,0,0,6153,77721,21887,0,0,9743,31630,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,Information Officer II,False,False,,80340,99828,,74516,0,0,3120,77636,25494,0,0,18270,43764,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Earthquake Authority, California",,"Associate Governmental Program Analyst, Range A",False,False,,64596,80868,,73504,0,0,3120,76624,21887,0,0,2001,23888,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
