Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,Office Of Emergency Services,,Senior Coordinator (Fire And Rescue Services),,,,72000,91368,,87018,71,83893,640,171623,25507,0,0,10865,36372,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,Coordinator -Law Enforcement- O.E.S.,,,,61032,77352,,74458,60750,0,156,135365,20393,0,0,1984,22377,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,Coordinator -Law Enforcement- O.E.S.,,,,61032,77352,,65229,66359,0,930,132518,19122,0,0,10840,29962,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,Director Of Communications,,,,103560,111984,,82514,0,44706,72,127292,15187,0,0,9877,25064,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,"Undersecretary, California Emergency Management Agency",,,,128064,138528,,126810,0,0,372,127182,22808,0,0,4787,27595,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,"Assistant Secretary, Public Safety, Victim Services, Emergency Management And Administrative S Ervices Program",,,,106020,122196,,120983,0,0,60,121043,22103,0,0,11852,33955,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,Chief (Fire And Rescue Services),,,,87432,101244,,103238,15589,0,732,119558,29636,0,0,11852,41488,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,"Chief Counsel I, C.E.A.",,,,110184,123924,,114622,0,0,0,114622,21359,0,0,11852,33211,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,"Director, Grants Management",,,,110580,119616,,112127,0,0,180,112307,20842,0,0,15416,36258,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,Coordinator (Fire And Rescue Services),,,,65484,83064,,79131,30919,0,1420,111470,21706,0,0,1984,23690,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Office Of Emergency Services,,Coordinator -Law Enforcement- O.E.S.,,,,61032,77352,,72791,36040,0,2462,111292,21702,0,0,14192,35894,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
