Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,Gambling Control Commission,,"Member, California Gambling Control Commission",False,False,,170464,170464,,157662,0,0,15181,172843,40880,0,0,17169,58049,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Chairperson, California Gambling Control Commission",False,False,,175880,175880,,165654,0,0,3820,169474,52698,0,0,17169,69867,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Member, California Gambling Control Commission",False,False,,170464,170464,,163803,0,0,2520,166323,51076,0,0,1216,52291,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Member, California Gambling Control Commission",False,False,,170464,170464,,159650,0,0,3820,163470,51076,0,0,17169,68244,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Executive Director, California Gambling Control Commission",False,False,,151212,168456,,153318,0,0,10002,163320,49490,0,0,22173,71663,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Member, California Gambling Control Commission",False,False,,170464,170464,,156692,0,0,3820,160512,44307,0,0,22173,66480,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"C.E.A., Range C",False,False,,113652,234684,,154918,0,0,3820,158738,50597,0,0,22173,72770,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Attorney III, Range A",False,False,,122700,157416,,150150,0,0,700,150850,47166,0,0,8397,55563,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Attorney III, Range A",False,False,,122700,157416,,146887,0,0,700,147587,47166,0,0,21513,68679,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Attorney III, Range A",False,False,,122700,157416,,146287,0,0,700,146987,47166,0,0,21513,68679,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"C.E.A., Range A",False,False,,113652,234684,,138157,0,0,3820,141977,47092,0,0,22173,69265,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Information Technology Manager I,False,False,,103092,138144,,125972,0,0,9004,134976,41391,0,0,22173,63564,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"C.E.A., Range A",False,False,,113652,234684,,115476,0,0,6808,122284,36111,0,0,1062,37173,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Staff Services Manager III,False,False,,105108,119340,,110478,0,0,8298,118776,35756,0,0,22173,57929,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Information Technology Specialist I, Range C",False,False,,86364,115716,,103986,0,0,8012,111998,34552,0,0,21587,56139,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Information Technology Specialist I, Range C",False,False,,86364,115716,,107980,0,0,3645,111625,34672,0,0,8401,43073,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Staff Services Manager I,False,False,,78756,97836,,90399,0,0,3820,94219,29314,0,0,8901,38215,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Staff Services Manager I,False,False,,78756,97836,,88459,0,0,5129,93588,28797,0,0,8901,37697,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Staff Management Auditor,False,False,,82692,107868,,88145,0,0,3670,91815,29391,0,0,21799,51191,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Staff Services Manager I,False,False,,78756,97836,,87832,0,0,3820,91652,29314,0,0,22173,51487,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Information Technology Associate, Range D",False,False,,71616,95976,,88533,0,0,2985,91518,29314,0,0,1062,30376,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,Staff Services Manager I,False,False,,78756,97836,,85267,0,0,4976,90243,29697,0,0,22173,51870,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Associate Management Auditor, Range A",False,False,,72984,95976,,80898,0,0,3745,84643,25716,0,0,8859,34575,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Senior Legal Analyst, Range A",False,False,,69516,87072,,77570,0,0,3670,81240,26089,0,0,21519,47608,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,76852,0,0,3670,80522,24835,0,0,8401,33237,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Gambling Control Commission,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,76750,0,0,3670,80420,24835,0,0,8401,33237,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
