Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,California Health Benefit Exchange,,"Executive Director, California Health Benefit Exchange",False,False,,479256,479256,,458625,0,0,14,458639,139436,0,0,12872,152307,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Chief Medical Officer,False,False,,336828,414540,,348739,0,0,23,348762,106613,0,0,19339,125953,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Chief Financial Officer,False,False,,165468,248196,,211065,0,120848,0,331914,64414,0,0,10343,74757,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Chief Deputy Executive Director Program (Plans, Sales & Service)",False,False,,257472,306324,,281157,0,0,10563,291719,85301,0,0,6429,91729,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,General Counsel,False,False,,177288,260004,,236713,0,0,0,236713,72980,0,0,22680,95660,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Chief Deputy Executive Director, Operations",False,False,,165468,248196,,234141,0,0,0,234141,70465,0,0,4455,74919,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Special Consultant,False,False,,0,1200000,,108269,0,118496,0,226765,14928,0,0,4290,19219,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Chief Information Officer,False,False,,165468,248196,,219874,0,0,0,219874,67554,0,0,17947,85501,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Director, Communications And Public Relations",False,False,,142728,201996,,199841,0,0,44,199885,60575,0,0,2280,62855,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Director Of External Affairs,False,False,,141828,212724,,196046,0,0,0,196046,58885,0,0,4083,62968,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Director, Outreach And Sales",False,False,,147996,254616,,196000,0,0,0,196000,61157,0,0,22279,83437,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range C",False,False,,89304,210156,,168685,0,0,6699,175384,50787,0,0,18200,68986,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,137942,0,31971,4863,174777,41610,0,0,4407,46018,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range C",False,False,,89304,210156,,173277,0,0,0,173277,50787,0,0,4647,55434,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Director, Plan Management",False,False,,153636,224556,,161446,0,0,6498,167943,50149,0,0,21886,72035,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Assistant General Counsel,False,False,,161640,223404,,165591,0,0,0,165591,49661,0,0,3734,53394,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Director Of Marketing,False,False,,142716,170004,,162538,0,0,0,162538,49880,0,0,9815,59695,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Attorney IV, Range A",False,False,,125436,161052,,150741,0,0,1300,152041,47244,0,0,21878,69123,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range C",False,False,,89304,210156,,149430,0,0,0,149430,46236,0,0,22510,68745,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,137155,0,0,5503,142658,43854,0,0,22386,66241,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,140417,0,0,0,140417,43552,0,0,17818,61370,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,132453,0,0,5219,137673,41520,0,0,22275,63795,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Attorney IV, Range A",False,False,,125436,161052,,135722,0,0,1300,137022,42187,0,0,9706,51893,1.25% @ 65,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,134834,0,0,30,134864,40748,0,0,5081,45828,1.25% @ 65,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Deputy Chief Operations Officer,False,False,,144888,192336,,134083,0,0,0,134083,40231,0,0,3562,43793,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Attorney IV, Range A",False,False,,125436,161052,,131931,0,0,372,132303,41663,0,0,9535,51198,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range A",False,False,,89304,210156,,121937,0,0,4770,126707,37541,0,0,10000,47541,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,126296,0,0,0,126296,39690,0,0,22177,61867,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Information Technology Manager II,False,False,,111144,135096,,125386,0,0,0,125386,39289,0,0,22154,61442,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,123369,0,0,23,123392,38816,0,0,22138,60954,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range B",False,False,,89304,210156,,118953,0,0,0,118953,37312,0,0,17497,54809,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range A",False,False,,89304,210156,,113068,0,0,4513,117581,35645,0,0,21959,57604,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Information Technology Manager I,False,False,,91608,122760,,116811,0,0,0,116811,36101,0,0,9928,46029,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Information Technology Manager II,False,False,,111144,135096,,111622,0,0,4551,116173,35057,0,0,21923,56980,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range A",False,False,,89304,210156,,116130,0,0,0,116130,34816,0,0,3808,38624,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,95378,0,16324,3748,115450,29475,0,0,9581,39056,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Information Technology Manager I,False,False,,91608,122760,,110555,0,0,4562,115116,36101,0,0,21988,58089,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range A",False,False,,89304,210156,,115000,0,0,0,115000,35828,0,0,17411,53239,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range A",False,False,,89304,210156,,110138,0,0,4485,114622,34764,0,0,21918,56682,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Attorney III, Range A",False,False,,113556,145680,,110732,0,0,1300,112032,34941,0,0,21259,56200,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"C.E.A., Range A",False,False,,89304,210156,,107395,0,0,4312,111707,33854,0,0,17622,51475,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Information Technology Specialist II, Range A",False,False,,84168,112788,,105721,0,0,4191,109912,33169,0,0,16331,49500,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,"Information Technology Specialist II, Range A",False,False,,84168,112788,,105381,0,0,4191,109572,33169,0,0,16715,49883,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,California Health Benefit Exchange,,Information Technology Manager I,False,False,,91608,122760,,109341,0,0,0,109341,33635,0,0,9794,43430,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
