Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Health Facilities Financing Authority, California",,"Executive Director, Chffa",False,False,,110580,123216,,116589,0,0,6,116595,24045,0,0,1984,26029,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"C.E.A., Range A",False,False,,74076,165384,,99209,0,0,0,99209,21202,0,0,13424,34626,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Treasury Program Manager II,False,False,,70284,87312,,77973,0,0,-47,77927,16858,0,0,14417,31275,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Treasury Program Manager I,False,False,,60948,75732,,69972,0,0,6,69978,15078,0,0,6944,22022,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Treasury Program Manager I,False,False,,60948,75732,,67334,0,0,0,67334,15078,0,0,13424,28502,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,64108,0,0,0,64108,13160,0,0,2924,16084,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,61717,292,0,0,62009,13160,0,0,6386,19546,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"Administrative Assistant II, Range A",False,False,,52800,66096,,60917,0,0,411,61328,13160,0,0,7630,20790,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,60485,0,0,0,60485,13160,0,0,6552,19713,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,59797,93,0,0,59890,12792,0,0,6552,19344,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,52703,0,0,0,52703,10614,0,0,1804,12418,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,50847,0,0,0,50847,11200,0,0,16844,28045,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,48725,0,0,158,48883,10459,0,0,6601,17059,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"Executive Assistant, Range A",False,False,,39456,49392,,42991,0,0,0,42991,9695,0,0,15258,24953,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"Staff Services Analyst (General), Range C",False,False,,43896,54948,,31446,0,0,0,31446,0,0,0,3682,3682,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"Staff Services Analyst (General), Range C",False,False,,43896,54948,,25124,0,0,-610,24514,0,0,0,8332,8332,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"Office Technician (Typing), Range A",False,False,,32232,40344,,11256,0,0,-114,11141,2459,0,0,2092,4551,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,Treasury Program Manager I,False,False,,60948,75732,,9230,0,0,0,9230,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Health Facilities Financing Authority, California",,"Office Technician (Typing), Range A",False,False,,32232,40344,,6869,0,0,0,6869,1524,0,0,3236,4759,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,

