Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,High-Speed Rail Authority,,"Executive Director, High Speed Rail Authority",,,,365004,365004,,354225,0,0,384,354609,0,0,0,11852,11852,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Deputy Director For Communications, High Speed Rail Authority",,,,107712,116508,,89240,0,50164,39,139443,0,0,0,4605,4605,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Chief Counsel,,,,156204,156204,,137172,0,0,0,137172,25474,0,0,15416,40891,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Chief Deputy Director,,,,138864,138864,,116362,0,0,50,116412,21959,0,0,15416,37375,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Senior Transportation Engineer, CalTrans, Range A",,,,97464,118440,,106476,0,0,168,106644,19670,0,0,15241,34912,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"C.E.A., Range 2",,,,74076,160572,,58677,0,47702,24,106403,10297,0,0,1157,11454,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"C.E.A., Range 2",,,,74076,160572,,100277,0,0,230,100507,18317,0,0,15416,33733,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Transportation Engineer (Civil), Range D",,,,82764,100548,,94185,0,0,0,94185,16699,0,0,2142,18840,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Southern California Regional Director,,,,217464,217464,,80866,0,7958,24,88848,11668,0,0,6310,17978,2.00% @ 60,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Supervising Right Of Way Agent,,,,81348,89688,,77158,0,0,18,77176,14038,0,0,5618,19656,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Senior Environmental Planner,,,,66912,80724,,71929,0,0,226,72155,13913,0,0,15416,29330,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Senior Environmental Planner,,,,66912,80724,,64483,2369,0,3606,70458,12149,0,0,1804,13953,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Senior Right Of Way Agent,,,,66912,80724,,66431,0,0,0,66431,12455,0,0,15416,27871,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Senior Transportation Planner,,,,66912,80724,,65232,136,0,0,65367,12235,0,0,15211,27446,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Staff Services Manager I,,,,60948,73524,,63992,0,0,0,63992,11906,0,0,11852,23759,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,60223,1959,0,0,62182,9267,0,0,5802,15069,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Staff Services Manager I,,,,60948,73524,,57001,0,0,0,57001,9156,0,0,6140,15297,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Administrative Assistant II, Range A",,,,52800,64176,,56017,0,0,0,56017,9859,0,0,2516,12374,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Associate Information Systems Analyst (Specialist), Range A",,,,55428,70764,,55425,0,0,0,55425,2691,0,0,5519,8210,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Information Officer I (Specialist), Range A",,,,52800,64176,,52229,0,0,930,53159,9960,0,0,5802,15761,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,52750,0,0,0,52750,10045,0,0,13638,23683,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Associate Accounting Analyst, Range A",,,,55428,67392,,52517,0,0,0,52517,9939,0,0,2142,12080,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,50338,0,0,0,50338,8835,0,0,1804,10639,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Staff Services Analyst (General), Range C",,,,43896,53352,,40771,0,0,0,40771,7881,0,0,14900,22781,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Senior Management Auditor,,,,66912,84756,,39894,0,0,0,39894,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Staff Services Analyst (General), Range B",,,,36600,44496,,34511,0,0,2000,36511,6138,0,0,5802,11940,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Office Technician (Typing), Range A",,,,32232,39168,,36022,0,0,0,36022,6677,0,0,5533,12210,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Deputy Director For Communications, High Speed Rail Authority",,,,107712,116508,,30951,0,0,0,30951,0,0,0,3854,3854,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,Senior Management Auditor,,,,66912,84756,,28770,0,0,0,28770,5291,0,0,983,6274,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,High-Speed Rail Authority,,"Deputy Attorney IV, CalTrans",,,,101832,125724,,26114,0,0,0,26114,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
