Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Regenerative Medicine, California Institute for",,President,False,False,,311004,549996,,539004,0,0,0,539004,164933,0,0,13904,178838,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Chairman Of The Icoc Board,False,False,,324888,601044,,390093,0,0,0,390093,119953,0,0,24365,144318,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,General Counsel,False,False,,250764,372000,,193467,0,106330,0,299797,58181,0,0,7777,65959,1.25% @ 65,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Vice President,False,False,,197856,381300,,287798,0,0,0,287798,88766,0,0,11195,99961,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Information Technology Director,False,False,,183684,275508,,240521,0,0,0,240521,72260,0,0,18105,90365,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Vice President,False,False,,197856,381300,,233116,0,0,0,233116,71560,0,0,10611,82170,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Vice President,False,False,,197856,381300,,231797,0,0,250,232047,71971,0,0,22658,94629,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Director,False,False,,180000,264708,,231806,0,0,0,231806,70874,0,0,10556,81430,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Vice President,False,False,,197856,381300,,229395,0,0,0,229395,72698,0,0,22684,95382,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Vice President,False,False,,197856,381300,,160681,0,66669,250,227600,49013,0,0,16530,65543,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Director,False,False,,180000,264708,,223153,0,0,0,223153,68974,0,0,10632,79605,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Vice Chairman,False,False,,212652,281256,,222600,0,0,0,222600,67473,0,0,2400,69873,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Director Of Public Communications,False,False,,161160,257208,,208246,0,0,0,208246,63985,0,0,17811,81796,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Associate General Counsel,False,False,,171492,257208,,206037,0,0,250,206287,62913,0,0,10275,73188,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,It Lead Architect,False,False,,213252,221628,,205089,0,0,1180,206269,63450,0,0,17792,81242,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Associate Director,False,False,,117924,221628,,204343,0,0,0,204343,61176,0,0,22274,83449,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Associate Director,False,False,,117924,221628,,204120,0,0,0,204120,62485,0,0,10268,72754,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Regenerative Medicine, California Institute for",,Associate Director,False,False,,117924,221628,,198334,0,0,0,198334,61176,0,0,22274,83449,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
