Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Law Revision Committee, California",,Executive Director/California Law Revision Commission,False,False,,152148,181212,,170319,0,0,10620,180939,54297,0,0,17169,71465,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Attorney IV, Range A",False,False,,135552,174036,,153141,0,0,443,153584,44700,0,0,21513,66212,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Attorney IV, Range A",False,False,,135552,174036,,137270,0,0,700,137970,44211,0,0,21513,65724,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Attorney III, Range A",False,False,,122700,157416,,126635,0,0,500,127135,40581,0,0,21513,62094,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Attorney, Range D",False,False,,101376,130032,,121321,0,0,1756,123077,38962,0,0,5207,44168,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Attorney III, Range A",False,False,,122700,157416,,86386,0,0,2405,88791,26695,0,0,2049,28744,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"C.E.A., Range C",False,False,,113652,234684,,68691,0,14629,1650,84970,20830,0,0,943,21773,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Staff Services Manager I,False,False,,78756,97836,,80814,0,0,3820,84634,26659,0,0,22173,48832,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Office Technician (General), Range A",False,False,,39696,49740,,26763,0,0,2636,29400,8936,0,0,5947,14883,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,"Executive Secretary I, Range A",False,False,,45432,56916,,3253,0,15458,300,19012,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,1200,0,0,0,1200,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,1100,0,0,0,1100,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,1100,0,0,0,1100,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,800,0,0,0,800,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,500,0,0,0,500,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,500,0,0,0,500,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Law Revision Committee, California",,Commission Member/California Law Revision Commission,False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,

