Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Executive Secretary, Tax Credit Allocation Committee/State Treasurer",,,,117060,126588,,123419,0,0,126,123545,22903,0,0,13004,35907,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager III,,,,81348,89688,,85824,0,0,35,85859,16138,0,0,10844,26983,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager II (Supervisory),,,,66912,80724,,75240,0,0,0,75240,14269,0,0,10844,25113,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,74801,0,0,0,74801,13302,0,0,2163,15465,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,56029,0,0,15150,71179,13302,0,0,14084,27386,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,63115,0,0,0,63115,11611,0,0,5313,16924,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,61969,0,0,0,61969,11611,0,0,13247,24858,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,60752,0,0,0,60752,11235,0,0,5313,16548,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,60143,0,0,0,60143,10648,0,0,1811,12459,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,59688,0,0,0,59688,11611,0,0,13607,25218,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,57869,0,0,0,57869,11057,0,0,12563,23620,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,57828,0,0,0,57828,10995,0,0,10690,21684,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,57727,0,0,6,57733,10854,0,0,5502,16356,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,53187,0,0,0,53187,9919,0,0,5313,15232,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,52400,406,0,0,52806,9770,0,0,5313,15083,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,52550,0,0,0,52550,9807,0,0,5243,15050,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,52328,0,0,0,52328,9174,0,0,13449,22624,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,51647,0,0,0,51647,9658,0,0,5313,14972,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,51537,0,0,0,51537,9658,0,0,4847,14505,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,50919,0,0,0,50919,9575,0,0,5675,15250,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,46430,442,0,12,46884,8594,0,0,6258,14852,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Staff Services Analyst (General), Range C",,,,43896,53352,,45961,166,0,18,46145,3948,0,0,5133,9081,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
