Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Executive Secretary, Tax Credit Allocation Committee/State Treasurer",,,,117060,126588,,124741,0,0,90,124831,23736,0,0,5415,29151,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager III,,,,81348,89688,,83870,0,0,18,83888,16817,0,0,12344,29161,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager II (Supervisory),,,,66912,80724,,68754,0,0,6210,74963,14640,0,0,12344,26984,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,73669,0,0,0,73669,13786,0,0,2166,15952,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,64621,0,0,0,64621,12033,0,0,1804,13837,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,62994,0,0,0,62994,12539,0,0,12344,24883,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,62896,0,0,42,62938,12394,0,0,6392,18786,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,61773,0,0,0,61773,12033,0,0,6036,18070,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,59785,546,0,0,60330,11233,0,0,2924,14157,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,59928,0,0,0,59928,12033,0,0,15512,27545,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,58744,0,0,0,58744,11710,0,0,12248,23958,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,57774,0,0,0,57774,11329,0,0,6036,17366,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,Staff Services Manager I,,,,60948,73524,,57359,0,0,24,57383,11438,0,0,16040,27478,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,56965,294,0,0,57259,11153,0,0,6036,17189,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,57215,0,0,0,57215,12033,0,0,15494,27527,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,56716,0,0,0,56716,11450,0,0,14392,25842,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,55616,0,0,0,55616,11197,0,0,11940,23137,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,55576,0,0,0,55576,11010,0,0,8301,19311,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,55393,0,0,0,55393,10275,0,0,1804,12079,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,55341,0,0,0,55341,11010,0,0,6036,17046,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,53931,546,0,0,54476,11010,0,0,15512,26522,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,53145,520,0,24,53689,10440,0,0,6036,16477,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,52596,0,0,0,52596,10440,0,0,11333,21773,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,52404,0,0,0,52404,10440,0,0,5963,16403,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,51785,280,0,0,52065,10355,0,0,12273,22628,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Mortgage Bond and Tax Credit Allocation Commission, California",,"Associate Governmental Program Analyst, Range A",,,,52800,64176,,51572,0,0,0,51572,10115,0,0,5963,16078,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
