Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Pollution Control Financing Authority, California",,"Executive Secretary, California Pollution Control Financing Authority/State Treasurer",False,False,,110580,123204,,117831,0,0,18,117849,25428,0,0,13424,38852,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,"C.E.A., Range A",False,False,,74076,165384,,98542,0,0,0,98542,20117,0,0,1984,22101,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Treasury Program Manager II,False,False,,70284,87312,,70525,0,0,0,70525,15211,0,0,12344,27555,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Treasury Program Manager I,False,False,,60948,75732,,67249,0,0,0,67249,13603,0,0,1984,15587,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Treasury Program Manager I,False,False,,60948,75732,,62983,0,0,0,62983,13603,0,0,16734,30337,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,57501,0,0,0,57501,12792,0,0,16844,29636,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,48227,8882,0,-14,57095,8881,0,0,6507,15388,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Treasury Program Manager I,False,False,,60948,75732,,56819,0,0,47,56866,12706,0,0,17396,30102,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,55373,0,0,0,55373,12141,0,0,12896,25037,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,47044,5914,0,18,52976,10339,0,0,6277,16616,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,51313,0,0,0,51313,11047,0,0,7328,18375,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,"Administrative Assistant I, Range B",False,False,,45912,57504,,50726,0,0,0,50726,11260,0,0,12896,24156,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,Associate Treasury Program Officer,False,False,,52800,66096,,45731,0,0,0,45731,10266,0,0,17850,28117,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,"Staff Services Analyst (General), Range C",False,False,,43896,54948,,42046,2531,0,0,44577,0,0,0,6299,6299,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,"Staff Services Analyst (General), Range C",False,False,,43896,54948,,43519,0,0,-11,43508,0,0,0,6328,6328,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Pollution Control Financing Authority, California",,"Staff Services Analyst (General), Range C",False,False,,43896,54948,,38081,0,0,159,38239,0,0,0,5259,5259,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
