Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"School Finance Authority, California",Treasurer,"Executive Director, California School Finance Authority",False,False,,133308,148524,,129115,0,0,6337,135452,42862,0,0,25228,68090,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,Staff Services Manager II (Supervisory),False,False,,80664,100224,,85922,0,0,1323,87245,27786,0,0,18660,46445,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,69573,0,0,1300,70873,22323,0,0,9875,32198,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,69239,0,0,1330,70569,20963,0,0,2989,23952,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,64854,0,0,1300,66154,21213,0,0,2991,24203,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,62236,0,0,1337,63573,19660,0,0,9593,29253,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,60621,0,0,1300,61921,18920,0,0,9394,28314,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,Staff Services Manager I,False,False,,73488,91296,,59604,608,0,1300,61512,19137,0,0,21423,40560,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,49495,0,0,1300,50795,15057,0,0,7622,22679,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,48492,0,0,1300,49792,15243,0,0,9071,24314,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Office Technician (Typing), Range A",False,False,,37728,47220,,36588,50,0,6410,43048,12099,0,0,13222,25321,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Office Technician (Typing), Range A",False,False,,37728,47220,,33795,0,0,1300,35095,11141,0,0,16175,27316,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,22263,0,0,1300,23563,6529,0,0,954,7482,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,18483,0,0,1040,19523,5428,0,0,525,5953,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Administrative Assistant II, Range A",False,False,,61788,77352,,5709,0,0,0,5709,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,3412,0,0,0,3412,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"School Finance Authority, California",Treasurer,Staff Services Manager I,False,False,,73488,91296,,0,0,2506,0,2506,0,0,0,0,0,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,

