Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,"Tahoe Conservancy, California",,"Attorney IV, Range A",False,False,,111792,143544,,126424,0,0,1683,128107,32161,0,0,1984,34145,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,"Attorney III, Range A",False,False,,101208,129840,,124552,0,0,1287,125840,33543,0,0,18884,52427,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,"Executive Officer, California Tahoe Conservancy/Department of General Services",False,False,,108132,120516,,112877,0,0,4500,117377,30351,0,0,19460,49812,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Environmental Program Manager I (Managerial),False,False,,128280,145680,,115760,0,0,0,115760,31131,0,0,14996,46127,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Supervising Environmental Planner,False,False,,87612,99468,,92008,0,0,500,92508,25053,0,0,19460,44513,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Forester II (Supervisory),False,False,,75480,95400,,88030,0,0,3562,91592,37435,0,0,19460,56895,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Data Processing Manager III,False,False,,91980,109656,,86990,0,0,500,87490,23371,0,0,14996,38367,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Senior Environmental Planner,False,False,,72060,89544,,85790,0,0,0,85790,22553,0,0,7748,30301,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Senior Environmental Planner,False,False,,72060,89544,,85370,0,0,0,85370,22553,0,0,7748,30301,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Tahoe Conservancy, California",,Public Land Manager I,False,False,,72060,89556,,84246,0,0,500,84746,22556,0,0,1984,24540,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
