Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,Transportation Commission,,Executive Secretary/Calif Transportation Commission,False,False,,212904,219300,,202139,0,0,3404,205543,46733,0,0,136,46869,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Principal Transportation Engineer, Caltrans",False,False,,174324,198012,,195800,0,0,8401,204201,65712,0,0,23377,89089,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range C",False,False,,117060,241728,,164135,0,0,12429,176564,56135,0,0,9397,65532,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Supervising Transportation Engineer, Caltrans",False,False,,158676,180264,,169003,0,0,7331,176334,56703,0,0,23377,80080,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Executive Secretary/Calif Transportation Commission,False,False,,212904,219300,,101863,0,60939,1600,164402,34067,0,0,9108,43175,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Senior Transportation Engineer, Caltrans, Range A",False,False,,130632,163500,,155919,1221,0,6701,163841,51431,0,0,9338,60769,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range B",False,False,,117060,241728,,139795,0,0,7969,147764,46376,0,0,18217,64593,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range B",False,False,,117060,241728,,138650,0,0,2320,140970,47690,0,0,23377,71066,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range B",False,False,,117060,241728,,137956,0,0,2320,140276,47402,0,0,23377,70779,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,125137,0,0,5419,130556,41459,0,0,693,42152,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,122532,0,0,2420,124952,40877,0,0,9397,50274,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range A",False,False,,117060,241728,,121239,0,0,2370,123609,40700,0,0,9397,50097,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,114929,0,0,6925,121854,38692,0,0,19937,58629,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager III,False,False,,108264,122916,,111900,0,0,7010,118910,38666,0,0,23377,62042,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Senior Transportation Planner,False,False,,98160,121968,,112731,0,3468,2420,118619,37520,0,0,10242,47762,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range B",False,False,,117060,241728,,90766,0,0,21464,112230,36579,0,0,9397,45976,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager III,False,False,,108264,122916,,108578,0,0,2450,111028,36513,0,0,9397,45909,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,107307,0,0,2493,109800,36058,0,0,9397,45454,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager III,False,False,,108264,122916,,103276,0,0,6419,109695,38518,0,0,23377,61895,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,103618,0,0,2370,105988,35786,0,0,9397,45182,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager II (Supervisory),False,False,,89040,110628,,101687,0,0,2420,104107,34614,0,0,23377,57991,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager II (Supervisory),False,False,,89040,110628,,98747,0,0,2420,101167,34798,0,0,23377,58175,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Senior Transportation Planner,False,False,,98160,121968,,97165,0,0,550,97715,31965,0,0,1890,33855,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager I,False,False,,81120,100776,,90691,0,0,6218,96909,31548,0,0,23377,54925,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Research Data Specialist I, Range A",False,False,,78660,98472,,89979,0,0,5922,95901,30125,0,0,8593,38718,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Senior Transportation Planner,False,False,,98160,121968,,86789,0,0,7830,94619,30097,0,0,18181,48278,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager II (Supervisory),False,False,,89040,110628,,92169,0,0,2420,94589,31660,0,0,18217,49876,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager I,False,False,,81120,100776,,84578,0,0,4847,89424,28197,0,0,9397,37593,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Senior Transportation Planner,False,False,,98160,121968,,84568,0,0,2420,86988,28345,0,0,8906,37251,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,78966,0,0,2420,81386,26854,0,0,8861,35716,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,76954,0,0,2831,79785,26854,0,0,15614,42468,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,76862,174,0,2420,79456,26073,0,0,8571,34644,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager I,False,False,,81120,100776,,73503,0,0,2443,75946,25043,0,0,8861,33905,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,67739,1053,0,2420,71211,23093,0,0,8637,31730,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,67047,0,0,2420,69467,22910,0,0,8822,31732,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"C.E.A., Range A",False,False,,117060,241728,,0,0,67659,0,67659,0,0,0,0,0,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Administrative Assistant I, Range A",False,False,,56712,70992,,64525,0,0,2455,66980,22332,0,0,22698,45031,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,62454,0,0,2470,64924,21343,0,0,8637,29980,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Staff Services Analyst, Range C",False,False,,56712,70992,,54500,0,0,2420,56920,18363,0,0,8637,27000,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Associate Governmental Program Analyst, Range A",False,False,,68208,85368,,35523,0,0,488,36012,11904,0,0,5027,16931,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,29835,0,0,0,29835,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Staff Services Analyst, Range C",False,False,,56712,70992,,20777,0,0,200,20977,6874,0,0,42,6916,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,11200,0,0,23,11223,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Supervising Transportation Engineer, Caltrans",False,False,,158676,180264,,10795,0,0,0,10795,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,10300,0,0,0,10300,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,10200,0,0,0,10200,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,9100,0,0,0,9100,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,8400,0,0,0,8400,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,5200,0,0,23,5223,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,"Deputy Attorney IV, Caltrans",False,False,,135552,174036,,3463,0,0,0,3463,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,2000,0,0,0,2000,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,1600,0,0,0,1600,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Staff Services Manager I,False,False,,81120,100776,,1580,0,0,0,1580,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Commissioner/California Transportation Commission,False,False,,25920,25920,,1400,0,0,0,1400,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Transportation Commission,,Supervising Transportation Planner,False,False,,119352,135516,,60,0,0,0,60,0,0,0,0,0,,https://www.calhr.ca.gov,,08/06/2024,,,True,

