Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,"Conservation Corps, California",,"Director, California Conservation Corps",False,False,,166517,180086,,165183,0,0,0,165183,48615,0,0,15852,64467,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"C.E.A., Range A",False,False,,86280,200148,,154538,0,0,0,154538,44309,0,0,2613,46921,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,51184,35454,38734,2621,127993,11508,0,0,8503,20011,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Chief Deputy Director,False,False,,131604,146592,,126172,0,0,7,126179,37862,0,0,20274,58137,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"C.E.A., Range B",False,False,,86280,200148,,122008,0,0,0,122008,36708,0,0,20437,57146,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Departmental Construction and Maintenance Supervisor,False,False,,112680,141036,,117755,0,0,757,118513,35377,0,0,16195,51572,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Information Technology Manager I,False,False,,88512,118608,,116674,0,0,0,116674,33437,0,0,3407,36844,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"C.E.A., Range A",False,False,,86280,200148,,110292,0,0,30,110322,33399,0,0,15866,49265,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"C.E.A., Range A",False,False,,86280,200148,,106628,0,0,2121,108749,31984,0,0,15846,47831,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,50058,55477,0,1575,107110,10952,0,0,15744,26696,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist II,False,False,,55032,68352,,58887,41059,0,3198,103144,13748,0,0,20489,34237,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,48507,50729,0,1575,100811,11508,0,0,20299,31807,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,60723,0,37680,1830,100232,18025,0,0,13278,31303,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Information Technology Specialist I, Range C",False,False,,74148,99360,,97886,0,0,1837,99723,27945,0,0,2515,30460,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Information Technology Supervisor II,False,False,,80196,107460,,99352,0,0,0,99352,29522,0,0,20336,49858,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"C.E.A., Range A",False,False,,86280,200148,,98274,0,0,0,98274,29011,0,0,8388,37399,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,52731,43126,0,1575,97432,11508,0,0,8503,20011,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,96762,0,0,150,96912,27628,0,0,3325,30953,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,49904,44182,0,2621,96706,11508,0,0,15787,27295,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,50901,41983,0,2621,95506,11508,0,0,20299,31807,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Associate Governmental Program Analyst, Range A",False,False,,59700,74736,,68296,0,26396,64,94756,16898,0,0,8979,25877,,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist II,False,False,,55032,68352,,61222,30864,0,1575,93661,14179,0,0,20524,34703,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Associate Governmental Program Analyst, Range A",False,False,,59700,74736,,58635,33470,0,1241,93347,15669,0,0,20065,35734,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,91270,0,0,1956,93225,27415,0,0,20307,47722,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,90631,0,0,2563,93194,27415,0,0,15783,43198,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,91193,0,0,1962,93156,27628,0,0,20308,47937,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Information Technology Specialist I, Range C",False,False,,74148,99360,,93121,0,0,0,93121,28003,0,0,15216,43219,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,91125,0,0,1909,93033,26812,0,0,8357,35169,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"C.E.A., Range A",False,False,,86280,200148,,92800,0,0,0,92800,27894,0,0,8383,36277,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,51625,38056,0,2621,92302,11508,0,0,15787,27295,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,45769,44875,0,1575,92220,10253,0,0,8395,18648,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,49396,39936,0,2602,91934,11355,0,0,15774,27129,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist II,False,False,,55032,68352,,61427,27445,0,2846,91718,14071,0,0,16004,30075,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Accounting Administrator II,False,False,,77940,96840,,91694,0,0,0,91694,27186,0,0,15778,42963,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,91378,0,0,300,91678,27628,0,0,15784,43413,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist II,False,False,,55032,68352,,57569,31323,0,2719,91611,12910,0,0,15908,28818,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Information Technology Supervisor II,False,False,,80196,107460,,91494,0,0,0,91494,27954,0,0,20313,48267,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,51871,38030,0,1575,91476,11508,0,0,8503,20011,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Accounting Administrator II,False,False,,77940,96840,,89465,0,0,1627,91092,27301,0,0,15780,43080,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,89232,0,0,1759,90991,27025,0,0,20303,47328,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist Supervisor,False,False,,61104,75936,,49477,39155,0,2321,90953,11804,0,0,20348,32152,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,53868,35379,0,1575,90822,11508,0,0,1705,13212,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,90660,0,0,150,90810,27628,0,0,20308,47937,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,45011,42861,0,2240,90112,10016,0,0,13843,23859,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist II,False,False,,55032,68352,,55767,31429,0,2673,89869,12397,0,0,8584,20981,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,49151,37875,0,2621,89647,11508,0,0,20299,31807,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,86745,0,0,2059,88804,26297,0,0,15773,42069,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Staff Services Manager II (Managerial),False,False,,86280,98004,,86013,0,0,1742,87756,26118,0,0,15766,41884,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,52981,32106,0,2621,87708,11587,0,0,8385,19972,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Deputy, Capital Outlay Program",False,False,,128796,143496,,49240,0,38304,0,87544,14516,0,0,6413,20930,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,48532,36318,0,2463,87313,9977,0,0,2829,12805,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,Conservationist II,False,False,,55032,68352,,63405,20692,0,2864,86960,14179,0,0,20524,34703,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Information Technology Specialist I, Range B",False,False,,67536,90516,,84956,0,0,1688,86643,25511,0,0,10929,36440,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Conservation Corps, California",,"Conservationist I, Range B",False,False,,44832,55476,,51952,32966,0,1575,86493,11508,0,0,8503,20011,2.50% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
