Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,State Department,"Highway Patrol, California",,"Captain, California Highway Patrol",False,False,,150948,174912,,182375,0,180195,1220,363790,73004,0,0,14869,87873,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Chief, California Highway Patrol",False,False,,189024,218592,,217816,0,121438,5818,345073,87442,0,0,7692,95134,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Sergeant, California Highway Patrol, Range C",False,False,,106704,132348,,153734,4817,162619,1270,322440,59747,0,0,3372,63118,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Chief, California Highway Patrol",False,False,,189024,218592,,221338,0,98701,1220,321260,89035,0,0,19184,108219,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Captain, California Highway Patrol",False,False,,150948,174912,,138996,0,163270,1195,303461,54106,0,0,14757,68863,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Chief, California Highway Patrol",False,False,,189024,218592,,222618,0,72422,1220,296259,89027,0,0,19184,108211,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Lieutenant, California Highway Patrol",False,False,,131820,155664,,119952,0,152646,1195,273793,46682,0,0,11417,58099,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Captain, California Highway Patrol",False,False,,150948,174912,,179407,0,92748,1220,273375,72114,0,0,18877,90991,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Captain, California Highway Patrol",False,False,,150948,174912,,162501,0,106953,1220,270674,66898,0,0,13700,80598,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Officer, California Highway Patrol, Range A",False,False,,74700,92640,,112529,37614,118570,1528,270240,45004,0,0,17554,62559,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Captain, California Highway Patrol",False,False,,150948,174912,,145307,0,122133,1220,268659,56829,0,0,14767,71597,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Sergeant, California Highway Patrol, Range A",False,False,,90984,112824,,143959,31078,85145,1140,261322,58307,0,0,19225,77532,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Sergeant, California Highway Patrol, Range A",False,False,,90984,112824,,139328,2226,113162,2050,256765,55814,0,0,14869,70683,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Highway Patrol, California",,"Lieutenant, California Highway Patrol",False,False,,131820,155664,,158884,0,96440,1405,256729,63435,0,0,14869,78304,3.00% @ 50,https://www.calhr.ca.gov,,07/28/2015,,,,
