Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Horse Racing Board, California",,"Executive Director, California Horse Racing Board",False,False,,107712,120000,,69585,0,37273,4634,111491,15142,0,0,11599,26741,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Attorney III, Range A",False,False,,92184,118284,,110081,0,0,0,110081,23424,0,0,6548,29973,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Chief, Licensing And Enforcement, California Horse Racing Board, C.E.A.",False,False,,89580,101724,,95437,0,0,0,95437,28765,0,0,1984,30749,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Investigator, Range C",False,False,,58656,75816,,64364,575,29778,558,95274,20397,0,0,6548,26945,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"C.E.A., Range A",False,False,,74076,165384,,92813,0,0,0,92813,18983,0,0,3046,22029,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Senior Management Auditor,False,False,,66912,87300,,86592,0,0,0,86592,17631,0,0,1984,19615,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Staff Programmer Analyst (Supervisor),False,False,,63816,83916,,75857,0,8205,0,84062,16707,0,0,17396,34103,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Supervising Special Investigator I,False,False,,64428,84072,,82688,0,0,0,82688,24844,0,0,1984,26828,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Investigator, Range C",False,False,,58656,75816,,76274,3326,0,1088,80688,24284,0,0,6548,30832,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Investigator, Range C",False,False,,58656,75816,,76005,1621,0,1917,79542,23388,0,0,1984,25372,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Supervising Special Investigator I,False,False,,64428,84072,,74791,425,0,283,75499,23392,0,0,6713,30105,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Staff Programmer Analyst (Specialist), Range A",False,False,,60780,79920,,75318,0,0,0,75318,15912,0,0,6552,22464,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Investigator, Range C",False,False,,58656,75816,,72620,1324,0,735,74679,23019,0,0,16844,39863,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Staff Services Manager II (Supervisory),False,False,,66912,83148,,73811,0,0,0,73811,16554,0,0,17396,33951,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Staff Services Manager I,False,False,,60948,75732,,71292,0,0,0,71292,15078,0,0,6944,22022,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Investigator, Range A",False,False,O4,46824,57576,,63830,2457,0,4480,70766,18950,0,0,11920,30869,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Investigator, Range C",False,False,,58656,75816,,70322,0,0,130,70452,20864,0,0,1984,22848,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Associate Management Auditor, Range A",False,False,,55428,72888,,68207,0,0,0,68207,14512,0,0,6552,21064,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,Staff Services Manager I,False,False,,60948,75732,,66449,0,0,0,66449,13992,0,0,6944,20936,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Horse Racing Board, California",,"Associate Information Systems Analyst (Specialist), Range A",False,False,,55428,72888,,64927,0,0,0,64927,13160,0,0,1804,14964,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
