Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,State Department,"Library, California State",,"C.E.A., Range A",False,False,,75552,168696,,105628,0,22507,983,129118,25253,0,0,19184,44437,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"C.E.A., Range A",False,False,,75552,168696,,106433,0,0,14,106447,24160,0,0,7100,31260,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,Deputy State Librarian,False,False,,102432,114144,,105090,0,0,60,105149,24851,0,0,17708,42559,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"C.E.A., Range A",False,False,,75552,168696,,99714,0,0,0,99714,23063,0,0,13700,36763,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"C.E.A., Range A",False,False,,75552,168696,,92416,0,0,0,92416,22028,0,0,17708,39736,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Library Programs Consultant, Range A",False,False,,70056,87672,,91201,0,0,0,91201,21194,0,0,7033,28227,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Senior Librarian, Range A",False,False,,55824,69852,,67470,0,23400,0,90870,15550,0,0,7275,22825,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Library Programs Administrator, Range A",False,False,,77856,97500,,89590,0,0,131,89721,20662,0,0,7100,27762,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Principal Librarian, Range A",False,False,,70848,88692,,86587,0,0,0,86587,19727,0,0,7100,26828,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Library Programs Consultant, Range A",False,False,,70056,87672,,85786,0,0,69,85854,19003,0,0,1804,20807,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Senior Information Systems Analyst (Specialist), Range A",False,False,,68184,89616,,84892,0,0,0,84892,19658,0,0,6666,26324,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Library Programs Consultant, Range A",False,False,,70056,87672,,84730,0,0,23,84753,19501,0,0,6704,26205,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,State Librarian,False,False,,122004,159444,,84274,0,0,-412,83862,20379,0,0,10330,30709,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Systems Software Specialist II (Technical), Range A",False,False,,68064,89472,,83557,0,0,0,83557,19901,0,0,17236,37137,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,"Library Programs Consultant, Range A",False,False,,70056,87672,,82710,0,0,0,82710,19501,0,0,13522,33023,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Library, California State",,Systems Software Specialist II (Supervisory),False,False,,71472,93972,,82564,0,0,0,82564,20400,0,0,17708,38108,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
