Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,Lottery Commission,,"Director, California State Lottery",False,False,,160112,173160,,165620,0,0,6434,172054,46467,0,0,19424,65891,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Chief Financial Officer,False,False,,143424,159792,,147601,0,0,5717,153318,41480,0,0,19424,60904,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Attorney IV, Range A",False,False,,117384,150720,,143917,0,0,5754,149670,41592,0,0,15988,57580,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,149436,0,0,14,149450,40516,0,0,1984,42500,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Chief Deputy Director/California State Lottery,False,False,,143424,159792,,145683,0,0,46,145729,42249,0,0,19424,61673,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,131745,0,0,5220,136965,36919,0,0,7736,44655,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Deputy Director, Sales and Marketing",False,False,,143424,159792,,135804,0,0,-36,135769,37762,0,0,5813,43574,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,128916,0,0,5088,134004,36919,0,0,19424,56343,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Staff Services Manager II (Supervisory),False,False,,74940,93120,,91576,0,38800,3445,133820,27195,0,0,16279,43474,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,131454,0,0,11,131465,36919,0,0,19424,56343,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,126102,0,0,5112,131214,36919,0,0,19424,56343,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,121400,0,0,4645,126045,33705,0,0,19424,53129,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Data Processing Manager IV,False,False,,105168,125412,,119735,0,0,4638,124373,33654,0,0,19424,53078,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Attorney III, Range A",False,False,,106272,136332,,115752,0,0,4340,120092,31402,0,0,2258,33661,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,90377,0,23612,2500,116489,25636,0,0,14797,40433,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"District Sales Representative, California State Lottery",False,False,,46092,57696,,37668,0,53849,24320,115838,11622,0,0,10935,22556,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Data Processing Manager III,False,False,,95664,114048,,110499,0,0,4218,114716,30603,0,0,7736,38340,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Chief, Enterprise Risk Officer",False,False,,118068,131544,,114201,0,0,-699,113502,33519,0,0,19424,52943,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range A",False,False,,82956,190620,,110243,0,0,2757,113000,31999,0,0,14996,46995,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range A",False,False,,82956,190620,,109764,0,0,23,109787,31629,0,0,19424,51053,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Supervising Lottery Agent,False,False,,75684,98592,,104670,0,0,3923,108593,44308,0,0,2439,46747,3.00% @ 50,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Deputy Director for Communications,False,False,,107304,119520,,108551,0,0,0,108551,30650,0,0,7736,38386,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Data Processing Manager IV,False,False,,105168,125412,,107635,0,0,400,108035,30415,0,0,19424,49839,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Attorney III, Range A",False,False,,106272,136332,,106685,0,1097,0,107782,30316,0,0,13483,43799,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Systems Software Specialist III (Supervisory),False,False,,86220,113340,,103654,0,0,4069,107723,29525,0,0,19381,48906,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Systems Software Specialist III (Technical), Range A",False,False,,79728,104784,,103368,0,0,2500,105868,27919,0,0,1804,29723,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Systems Software Specialist III (Supervisory),False,False,,86220,113340,,99359,0,0,6375,105734,28242,0,0,18953,47195,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Staff Services Manager III,False,False,,91116,103452,,98822,0,0,6900,105722,27760,0,0,14996,42756,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"C.E.A., Range B",False,False,,82956,190620,,100132,0,0,3730,103863,28915,0,0,19424,48340,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Data Processing Manager III,False,False,,95664,114048,,103476,0,0,0,103476,29241,0,0,14996,44238,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Data Processing Manager III,False,False,,95664,114048,,103794,0,0,-699,103095,30603,0,0,19424,50028,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,"Attorney, Range D",False,False,,87792,112620,,103180,0,0,-219,102960,29224,0,0,19098,48322,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Lottery Commission,,Data Processing Manager II,False,False,,78600,103320,,102863,0,0,0,102863,27726,0,0,1984,29710,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
